layer,local_current_share,global_current_share,global_minus_local_current_share,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio,prev_visual_tokens,current_chunk_tokens
0,0.3637017932879696,0.3549486842954119,-0.00875310899469126,364306.30523209914,211952.6182849356,5984.868421052632,19614.842105263157
1,0.36849460787854516,0.366919791656682,-0.0015748162201126071,862951.0150529466,577483.763148824,5984.868421052632,19614.842105263157
2,0.1277315884699351,0.12673106741337842,-0.0010005210565566785,0.977605554279345,0.848990433797642,5984.868421052632,19614.842105263157
3,0.15661518778500963,0.15480566222210373,-0.001809525558857608,15.477367751646284,25.348393219890145,5984.868421052632,19614.842105263157
4,0.24960398000138226,0.24853082154023518,-0.0010731584589622689,1.1833838158949874,1.320228164033683,5984.868421052632,19614.842105263157
5,0.1909443625987834,0.1814527109412515,-0.009491651671317899,1.3613851518640994,1.1095261169722976,5984.868421052632,19614.842105263157
6,0.15859218320333743,0.16228958160158946,0.003697398418370355,2.0164930394105083,1.5991858304185822,5984.868421052632,19614.842105263157
7,0.09411159202758618,0.09403836517366355,-7.32268519531953e-05,0.12359744067142535,0.12548051479996475,5984.868421052632,19614.842105263157
8,0.14813405897437248,0.15318576365412212,0.005051704678665171,0.17937862573389124,0.20284752934342323,5984.868421052632,19614.842105263157
9,0.13987236331182853,0.13685555080226727,-0.0030168125104365687,0.1190146122611814,0.10367797598147242,5984.868421052632,19614.842105263157
10,0.14988422891530195,0.15000719596774215,0.0001229670536023733,0.7479777673151363,0.7759330396447428,5984.868421052632,19614.842105263157
11,0.19836179235413934,0.20057274669498407,0.0022109543320916977,1.3474482303148372,1.6077819725558693,5984.868421052632,19614.842105263157
12,0.1882512055189236,0.1895482288236689,0.0012970233058394271,0.2872312666547261,0.28344549851376405,5984.868421052632,19614.842105263157
13,0.19016962709894555,0.20335477473392352,0.013185147632116138,0.6812771865175457,0.8045158589186019,5984.868421052632,19614.842105263157
14,0.22139951328625485,0.24080479832078244,0.019405285019992766,0.173367944506327,0.17750637874348826,5984.868421052632,19614.842105263157
15,0.31937498114766777,0.3279407814040489,0.008565800262508298,2.6631280257860817,2.707414551036132,5984.868421052632,19614.842105263157
16,0.19507718252949635,0.20154635349084637,0.006469170956262317,0.15805868344950727,0.17446712579599388,5984.868421052632,19614.842105263157
17,0.2235330657451851,0.23497614466792666,0.011443078919021497,0.5376554861661709,0.5371350164970959,5984.868421052632,19614.842105263157
18,0.20651980974016218,0.2215335513939961,0.01501374164551852,0.7479698305497331,1.7423303398158325,5984.868421052632,19614.842105263157
19,0.14890860183331353,0.15905950333370864,0.010150901513088152,0.3479334707281156,0.35950587813856016,5984.868421052632,19614.842105263157
20,0.18693760392598324,0.1955583951572968,0.00862079123481478,0.26010039320703127,0.33885842303343244,5984.868421052632,19614.842105263157
21,0.17853956332063053,0.18293611722568548,0.004396553905054934,0.22919888921718584,0.2581046896217108,5984.868421052632,19614.842105263157
22,0.11104589622131247,0.11755008691958019,0.0065041907010038955,0.050367763244603216,0.05338479838318515,5984.868421052632,19614.842105263157
23,0.18503542477079,0.19274974647413542,0.007714321711879657,0.13830362364978668,0.13928928840854005,5984.868421052632,19614.842105263157
24,0.17735256053821014,0.18128470876760722,0.003932148222456202,0.5229561961808106,0.5122230230504136,5984.868421052632,19614.842105263157
25,0.2146363700881182,0.22933707804879946,0.014700707960681276,0.24033033606930876,0.2723914626778451,5984.868421052632,19614.842105263157
26,0.2515636844791584,0.26678311957494544,0.015219435092285835,0.2336010608696939,0.24816272553179897,5984.868421052632,19614.842105263157
27,0.1849520638970154,0.19744500170734383,0.012492937810570452,36302.932521919705,30536.887805979204,5984.868421052632,19614.842105263157
