layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,boundary_ratio,boundary_suppression,num_observations
0,0,0.030275488639121106,0.004224349365912551,0.009496412017093052,0.043539875866361134,0.16184911853882464,0.7442773382037859,0.25572265769688884,0.4530606530016653,0.09030864411589976,0.21963587268802395,0.300235952681592,0.2803921584039927,4482.048642265605,7.132420956772286,0.7648570669339557,0.23514293306604422,80
0,1,0.020235499179976236,0.004030744331576977,0.005940249524715081,0.02671202693624177,0.1572414554066228,0.6980048582788055,0.30199514733331,0.3706013158115308,0.06206793150652862,0.1641614686267387,0.2444477793225169,0.22395267188549042,1992.6513945849474,6.251478298014446,0.6703614646127114,0.32963853538728854,80
0,2,0.02391496940671599,0.01581827171198824,0.0060612644710401915,0.017059048488166573,0.1963730687727751,0.56929426692971,0.430705723473544,0.3537804611079376,0.05255837480206345,0.12830562388756894,0.1843812388087937,0.22503204345703126,2061.954835079812,6.670109039780073,0.5556602649712787,0.44433973502872126,80
0,3,0.014482223961538625,0.0009255781442172246,0.003311671599219611,0.010802590189832834,0.13225067045853617,0.6350843095796037,0.36491568847881506,0.28692325841477645,0.03526688712274975,0.10435957927273135,0.16360167490705685,0.18178714700043203,1059.2770091718296,5.418750482697343,0.6681798521205897,0.3318201478794103,80
1,0,0.0576856692870214,0.016140535074013335,0.026258536577273044,0.09635394413230734,0.2272955268091097,0.7072217884629529,0.2927782140558199,0.5527233663964182,0.09295827501986527,0.254559156074408,0.36432882208680206,0.35740404650568963,5466.702637517419,7.642028242938737,0.624314356173685,0.3756856438263149,80
1,1,0.06719725542339891,0.029717863374469543,0.027988262450369665,0.09154589367388481,0.2669062613490045,0.7633902254528534,0.23660976412094956,0.5630292827013379,0.10521154612980924,0.2700155951740352,0.3742905708654126,0.37250898107886316,8311.821801716284,7.752128673066625,0.6145971592526672,0.3854028407473328,80
1,2,0.04636162625397306,0.005193212382112327,0.01914191151577147,0.08692829521633519,0.1835916284614145,0.7213120401114884,0.27868796502309967,0.4896681691333799,0.10398440971893486,0.22167604043592953,0.30512580866737976,0.32979584746062757,9539.406300463308,7.31831766953542,0.6595986309609893,0.3404013690390108,80
1,3,0.07063749904334926,0.0213998591979747,0.032493053619746935,0.12674571873608326,0.22301575627863643,0.7495019618988772,0.2504980446634729,0.602619558741855,0.12402357552552032,0.2835075884054573,0.3845178547021112,0.41528371181339024,23533.137407236798,8.689556581147336,0.6471521582830851,0.35284784171691486,80
2,0,0.26337146693934727,0.2609482948445855,0.10451032910745697,0.28789066564204796,0.7373229914535577,0.9070813195380302,0.09291867591784382,0.4570430516172787,0.04628045278244827,0.13302035766970238,0.21205292448179205,0.386432733386755,59608.6478075402,10.33164434246086,0.20583293472613592,0.794167065273864,80
2,1,0.2441185640513212,0.2757403732021996,0.0923306282846664,0.27156336852196133,0.7198207578788965,0.8858366036838181,0.1141633989434192,0.43149918580469127,0.04403273511461285,0.13279522217682566,0.20951700347463156,0.36779109910130503,49623.5602002228,10.027856805180482,0.2102921237039337,0.7897078762960663,80
2,2,0.15309504171414115,0.1487628823586345,0.05381100251780513,0.10856908856428145,0.7386035378677381,0.8865407291038772,0.11345927128208885,0.2929583166937043,0.024806019754030385,0.07040274992311939,0.11507309015907585,0.33535378724336623,49444.38484673022,9.868034198944653,0.1936600082522109,0.8063399917477891,80
2,3,0.20443238105800207,0.2112737670206501,0.07431519408554946,0.1933106496854919,0.7052675099384682,0.8681878075515735,0.13181218842013168,0.37657587536831205,0.031815609327183816,0.10420780685582487,0.17132940544343822,0.344828075915575,113477.67512118825,9.819746609413539,0.22300548726770453,0.7769945127322955,80
3,0,0.3043383758272879,0.3079759394712168,0.15081025109357724,0.5939807213340139,0.6387645445489617,0.8640638057201823,0.13593620710636412,0.595039601219304,0.06760838465521661,0.1962793133407636,0.3083462102316679,0.44692450277507306,450522.58172187227,11.127200657226679,0.2805853077401654,0.7194146922598346,80
3,1,0.2605523280789565,0.2402113203596143,0.12355904408766605,0.40765174635639934,0.6076137562849466,0.8368810831850512,0.16311891970772802,0.5497808602031349,0.06166185846101448,0.17068986109337034,0.2698392573072777,0.43509349748492243,78037.53098608738,10.343234552995991,0.28490397364164005,0.7150960263583599,80
3,2,0.24958125883931795,0.2380732281791832,0.11468225119257276,0.40967592289843885,0.6516472889334181,0.8800080588923331,0.11999195287391698,0.5078247544998237,0.06187781596624124,0.17041646966604712,0.25634216696002815,0.4122955460101366,221694.80250821527,10.721099025962651,0.2713037318062199,0.7286962681937801,80
3,3,0.2923560170487013,0.28900765818067553,0.1526195343016727,0.7261563615321898,0.5926492776239576,0.8438950201015618,0.1561049798973751,0.5975899477724256,0.08165603264008833,0.2405955135855926,0.35860028122954235,0.4336994972079992,129338.21529603831,9.882630186348463,0.3183240601544365,0.6816759398455635,80
4,0,0.24022425949921003,0.2274617031311829,0.11368966087585677,0.35147369312662274,0.5730491883695297,0.8374421212349612,0.16255788137888466,0.599680743667248,0.06427052233443474,0.18285727714644262,0.289939413740539,0.44922893308103085,41101.76453751657,10.014232110183404,0.3205156163554962,0.6794843836445038,80
4,1,0.3236087927404857,0.3242495595964768,0.18071460199830697,1.0112313946097573,0.5513658537811905,0.8619323594846957,0.1380676501001642,0.764813537522173,0.17689292665476836,0.39772078216149287,0.5416910086082944,0.5249666068702936,80787.70311630868,10.354435056546247,0.35576694933575054,0.6442330506642495,80
4,2,0.24447818853807984,0.19248684262367183,0.12967842700688964,0.6613084903453716,0.5096004401946665,0.8469068981659797,0.15309311562680272,0.6628943621736959,0.11236731503904662,0.2822021876155702,0.39939098375649007,0.4837925858795643,210684.7869254373,10.932097272124949,0.38843345184821154,0.6115665481517885,80
4,3,0.20778293349599625,0.15032277465304777,0.10261347875110334,0.5310066892218323,0.4882667540962675,0.8305898104216636,0.16941018368253688,0.6125553462387157,0.11758131657429001,0.28392896191684186,0.38975410532510063,0.4323511481285095,35865.31236666744,9.457606042057531,0.4082181410701879,0.591781858929812,80
5,0,0.2691665418671908,0.28306940006379594,0.12097318232674055,0.37726069005864576,0.6074651394453976,0.8104971371914133,0.18950285547864276,0.5494491416535188,0.05557932140242204,0.16681721475338154,0.26637600534512224,0.4183554172515869,132768.26307931152,9.9511206036305,0.27363587527995836,0.7263641247200416,80
