layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations,u_int_mean,cov_int_mean,cov_oracle_int_mean,score_sum,score_mean_q,score_max_q
0,0,0.0512964443961828,0.0066778482766685,0.0216611152516037,0.2149910818744764,0.7102552160326083,0.2897447848863444,0.4142088665608426,0.2579843766987323,0.6981156629041481,0.3018843370958519,80,0.998061827008978,0.8577074273511466,0.85864064489729,0.0,0.0,0.0
0,1,0.0427678645129331,0.0031451354139253,0.0199026586043769,0.2088278974292234,0.6649960960049301,0.3350039005640607,0.3341707152921336,0.2035685405135154,0.5899666591371964,0.4100333408628036,80,0.9691867349801148,0.6512028322687115,0.6547092429021962,0.0,0.0,0.0
0,2,0.0402977959800209,0.0146191541676864,0.0142829081887047,0.2251042335095464,0.5527102205810681,0.4472897781115234,0.3435394962775023,0.2179510310292244,0.5044751471766178,0.4955248528233822,80,0.9841137625377768,0.6450811945937923,0.6485899566997668,0.1101449275362318,0.0157349896480331,0.1101449275362318
0,3,0.0394140550685914,0.0015860293114418,0.0183668630542506,0.1952491678308415,0.6013086824178631,0.3986913092704737,0.3193974266039291,0.2142385199666023,0.561776791441125,0.438223208558875,80,0.9701839906929168,0.6456559198671588,0.6506466672105856,0.0,0.0,0.0
1,0,0.0846313388949876,0.0320285814443716,0.0397953916721597,0.2710303135726301,0.6698063303179194,0.3301936687303513,0.5294405301779568,0.3483291082084179,0.5532005430353774,0.4467994569646226,80,0.955770798070486,0.7812489035080026,0.7843589254623008,0.0,0.0,0.0
1,1,0.0957247763755523,0.0478458666636476,0.0452368284777797,0.3185985225032218,0.7798452120774471,0.220154789507051,0.5583490074131132,0.3793746737763285,0.5561157943779758,0.4438842056220243,80,0.995954384508424,0.783436222155424,0.7850266493991702,0.0,0.0,0.0
1,2,0.0788012341310846,0.0333741382488848,0.0358606035192575,0.2812940740785512,0.6844429322888906,0.3155570743239945,0.4772526552111234,0.3286446412559599,0.5249197790400661,0.4750802209599339,80,0.986182943280618,0.7579150560642336,0.7628268225120526,0.0,0.0,0.0
1,3,0.0980928941156514,0.0333207712215086,0.0464741618419791,0.2884264765253937,0.7174829969178848,0.2825170134647282,0.5575271553977996,0.3852925019338727,0.5600067791761567,0.4399932208238432,80,0.99776466327263,0.8396420589423249,0.8409352211183538,0.0196078431372549,0.0028011204481792,0.0196078431372549
2,0,0.2113310897315546,0.2122842528173711,0.0755454831094834,0.7459523758841047,0.8860196170434813,0.1139803858326612,0.3711582960703334,0.3493449129164219,0.1815888604211275,0.8184111395788725,80,0.8986901591672977,0.565499944186719,0.6199208233997904,344.09076290137176,49.15582327162453,343.6951287969141
2,1,0.1674166840434902,0.1637622403457173,0.0584077692449884,0.7471388596760967,0.8954546180481125,0.1045453944333109,0.3041495271723918,0.3342579741030931,0.1868953477942707,0.8131046522057293,80,0.8214516952885711,0.4735799693195091,0.5550308754557751,0.0,0.0,0.0
2,2,0.1421298125987721,0.1379573125751284,0.0494431032018969,0.7455285845108264,0.8965668447880513,0.1034331488782623,0.2751793005147246,0.3304939839988947,0.1961098802800425,0.8038901197199575,80,0.9600347241287356,0.4622581820395895,0.4761140055503947,7.711195095224582,1.1015992993177974,7.085599857129344
2,3,0.1325285777282213,0.1350354769312115,0.0444680348053976,0.7215909386558037,0.8726755315527708,0.1273244751258966,0.2679283418473684,0.3167588826268911,0.2090986093764006,0.7909013906235993,80,0.784128989078673,0.4038563079635163,0.4854886873002735,136.3700582672817,19.481436895325963,124.1371131239683
