layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
0,0,0.9980618270089779,0.9998465455866712,0.8577074273511466,0.02319493985639878,0.85864064489729,0.3606135251033837,0.20160336076514795,0.3531722089741379,80
0,1,0.9691867349801149,0.9995453947818911,0.6512028322687115,0.02147410276330374,0.6547092429021962,0.3366403414223194,0.1567405557143502,0.30494329982793716,80
0,2,0.9841137625377769,0.9981178821429311,0.6450811945937923,0.021971598958877167,0.6485899566997668,0.27337795874363885,0.1939597514923662,0.320236671413295,80
0,3,0.9701839906929168,0.999746096970681,0.6456559198671588,0.021502013249816453,0.6506466672105856,0.3203052563828481,0.16281325677773992,0.30729481273230697,80
1,0,0.9557707980704861,0.9994961418677906,0.7812489035080026,0.02217697157674871,0.7843589254623008,0.3488661431306351,0.1867643699690234,0.3220919599174522,80
1,1,0.9959543845084239,0.9997590436921862,0.783436222155424,0.021931732037955627,0.7850266493991702,0.33373445833441395,0.23721927775768564,0.3858363659819588,80
1,2,0.9861829432806181,0.9998004997350712,0.7579150560642336,0.02165720398331884,0.7628268225120526,0.29189581227251127,0.17927657171458122,0.35394086386659185,80
1,3,0.9977646632726301,0.9997355180893439,0.8396420589423249,0.021954358401208844,0.8409352211183538,0.35696356440582655,0.20963477134791902,0.351437765249284,80
2,0,0.8986901591672977,0.8978873637952154,0.565499944186719,0.021593565389519818,0.6199208233997904,0.09101017815921854,0.6249251851346344,0.714969290420413,80
2,1,0.8214516952885711,0.8358981263844607,0.4735799693195091,0.021719869513912214,0.5550308754557751,0.10449048314585643,0.6278010638226987,0.7154944866808364,80
2,2,0.9600347241287356,0.9612964472416095,0.46225818203958957,0.021830138902951775,0.47611400555039474,0.12796429820503555,0.6537275264388882,0.7426422662101686,80
2,3,0.784128989078673,0.7788359643059768,0.40385630796351635,0.021736988580160682,0.48548868730027356,0.12065625359915215,0.6109319064300507,0.7115526629029774,80
3,0,0.8538139542805471,0.8868390492111085,0.6521833263972787,0.022196270723264702,0.7408833380211107,0.1702613428574201,0.4937939386247308,0.6150180756405461,80
3,1,0.8873351027389556,0.9095137932989231,0.655093370533787,0.021958769873091172,0.723497156692865,0.1394635280220929,0.4416491064243019,0.5550278478767723,80
3,2,0.9068725075006764,0.9336981215785596,0.6057862696660365,0.02209878071435414,0.6537497012940459,0.17622880251983614,0.5189482743502595,0.634773071052041,80
3,3,0.7520929091670665,0.8374316424603272,0.5353657415538068,0.02254456140620232,0.6690572390421143,0.16298330602618222,0.4523558796690395,0.5886046815969166,80
4,0,0.9499064429719282,0.9783192131117364,0.7347963730389054,0.020724319690914393,0.7669940835678825,0.17609979584779076,0.38158477207180114,0.47815781203098595,80
4,1,0.5606341265419891,0.5442787418286765,0.3902187779147152,0.0230552461028402,0.6840746662619974,0.0700207678324791,0.12208689749240875,0.1506587018724531,80
