video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,num_memory_tokens,num_boundary_tokens,num_internal_tokens,num_latest_tokens,top_k_eff,cov_int,cov_rand_int,cov_oracle_int,u_obs_int,boundary_ratio,future_mass_internal,selector_mass_internal,selector_mass_boundary,selector_mass_memory
0,1,1,Attribute Recognition,3,19,0,0,14,5493,27021,26924,5479,64,5415,21431,128,0.9084101655778768,0.03627786111974034,0.9086154779168436,0.9997646411939446,0.5557531103899902,0.11068146675825119,0.1433238983154297,0.1792982965707779,0.3226222097873688
0,1,1,Attribute Recognition,3,19,0,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7968245826664363,0.029485510980034615,0.7971260199582402,0.9996073197163543,0.7561569913706013,0.05184359475970268,0.06561163067817688,0.20346157252788544,0.2690731883049011
0,1,1,Attribute Recognition,3,19,0,2,14,5493,27021,26924,5479,64,5415,21431,128,0.676244728915471,0.030094997270356458,0.6775710982626092,0.9979514775200143,0.4914458416865685,0.13277551531791687,0.16621431708335876,0.16062268614768982,0.3268370032310486
0,1,1,Attribute Recognition,3,19,0,3,14,5493,27021,26924,5479,64,5415,21431,128,0.5937216380354555,0.02156630764173825,0.5939131437905596,0.9996654026125272,0.6846017909825503,0.04836896061897278,0.07507511973381042,0.16295768320560455,0.23803280293941498
0,1,1,Attribute Recognition,3,19,1,0,14,5493,27021,26924,5479,64,5415,21431,128,0.8557358211306614,0.021768382929395154,0.8557868403334331,0.9999388272485834,0.7392693865858447,0.07316344976425171,0.09154815226793289,0.2595735192298889,0.3511216938495636
0,1,1,Attribute Recognition,3,19,1,1,14,5493,27021,26924,5479,64,5415,21431,128,0.8516363293244016,0.020026231952105136,0.8520897789724018,0.9994550300267047,0.6756759867003361,0.09935758262872696,0.14530368149280548,0.302716463804245,0.44802016019821167
0,1,1,Attribute Recognition,3,19,1,2,14,5493,27021,26924,5479,64,5415,21431,128,0.7782306512336086,0.017349841979292242,0.7783758470993692,0.9998092103741744,0.6745524630683221,0.045233290642499924,0.07184700667858124,0.14891670644283295,0.22076371312141418
0,1,1,Attribute Recognition,3,19,1,3,14,5493,27021,26924,5479,64,5415,21431,128,0.8505817121569882,0.022472441473188744,0.8519420875474518,0.9983599455412258,0.6972368324718515,0.0843600183725357,0.1331234872341156,0.3065716326236725,0.4396951198577881
0,1,1,Attribute Recognition,3,19,2,0,14,5493,27021,26924,5479,64,5415,21431,128,0.8987460730776813,0.032494069437710986,0.8995164676228173,0.9991114479305866,0.4540045713730337,0.1314789205789566,0.225460484623909,0.18747425079345703,0.41293472051620483
0,1,1,Attribute Recognition,3,19,2,1,14,5493,27021,26924,5479,64,5415,21431,128,0.8848450670609596,0.034459423623979815,0.8859367987114487,0.9987178383320218,0.5604752549998923,0.09216558933258057,0.1283550262451172,0.1636764109134674,0.292031466960907
0,1,1,Attribute Recognition,3,19,2,2,14,5493,27021,26924,5479,64,5415,21431,128,0.8876089132824387,0.02973904711898556,0.8885070040904671,0.9989542101545166,0.5940486711967543,0.137025386095047,0.20459358394145966,0.29939189553260803,0.5039854645729065
0,1,1,Attribute Recognition,3,19,2,3,14,5493,27021,26924,5479,64,5415,21431,128,0.7410695575439095,0.023472142873143788,0.7428558952740196,0.9975168500467992,0.5344266735512873,0.07772205770015717,0.1482962667942047,0.17022769153118134,0.31852394342422485
0,1,1,Attribute Recognition,3,19,3,0,14,5493,27021,26924,5479,64,5415,21431,128,0.9419030454199097,0.03121345838145771,0.9429775697460308,0.9988214886792246,0.5720231777696878,0.092823326587677,0.15204539895057678,0.20322009921073914,0.3552654981613159
0,1,1,Attribute Recognition,3,19,3,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7617063010594999,0.021827376835043415,0.7742991792488481,0.9832646510474737,0.6097690280138325,0.0740119069814682,0.14279790222644806,0.223133847117424,0.36593174934387207
0,1,1,Attribute Recognition,3,19,3,2,14,5493,27021,26924,5479,64,5415,21431,128,0.8378225784891172,0.03027754653453038,0.8442527944284761,0.992100231601651,0.6941052597411972,0.0912393182516098,0.11577703803777695,0.26270943880081177,0.3784864544868469
0,1,1,Attribute Recognition,3,19,3,3,14,5493,27021,26924,5479,64,5415,21431,128,0.7682817132880326,0.02294057343609688,0.770139811470513,0.9975132493598818,0.5354423655983495,0.04647144302725792,0.08093079924583435,0.0932796522974968,0.17421044409275055
0,1,1,Attribute Recognition,3,19,4,0,14,5493,27021,26924,5479,64,5415,21431,128,0.7740666175591889,0.023214315224785127,0.7877986762386018,0.9820398384003217,0.5931611884039465,0.07901124656200409,0.10760807245969772,0.15688994526863098,0.2644979953765869
0,1,1,Attribute Recognition,3,19,4,1,14,5493,27021,26924,5479,64,5415,21431,128,0.5188662617980312,0.028478058712311294,0.5508705248812372,0.9387352131648172,0.21127596632531165,0.030574215576052666,0.20372243225574493,0.0545712485909462,0.25829368829727173
0,1,1,Attribute Recognition,3,19,4,2,14,5493,27021,26924,5479,64,5415,21431,128,0.669754389054124,0.017559775502377892,0.6763782095799343,0.9899459089421585,0.6583866885109575,0.019373834133148193,0.03095664456486702,0.05966232717037201,0.09061897546052933
0,1,1,Attribute Recognition,3,19,4,3,14,5493,27021,26924,5479,64,5415,21431,128,0.525427185939357,0.02413377116735376,0.5354760258706521,0.980348113538737,0.5053577984814978,0.02136858180165291,0.026569653302431107,0.02714524045586586,0.05371489375829697
0,1,1,Attribute Recognition,3,19,5,0,14,5493,27021,26924,5479,64,5415,21431,128,0.4919919745781449,0.021151533738910176,0.5470303468067516,0.8953401984224802,0.5643249472868085,0.05806047469377518,0.08950991183519363,0.11594118177890778,0.205451101064682
0,1,1,Attribute Recognition,3,19,5,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7725254435849765,0.018077863390873035,0.7742587581042204,0.9977078043992389,0.7246896136085995,0.04799658805131912,0.0843033641576767,0.22190874814987183,0.3062121272087097
0,1,1,Attribute Recognition,3,19,5,2,14,5493,27021,26924,5479,64,5415,21431,128,0.6589499664842883,0.024230087901657874,0.6948671333044589,0.9464432108734101,0.4865197869937253,0.06203056126832962,0.17450082302093506,0.1653386354446411,0.33983948826789856
0,1,1,Attribute Recognition,3,19,5,3,14,5493,27021,26924,5479,64,5415,21431,128,0.7371522211908584,0.02757487755251166,0.7716861145414566,0.9535904154716255,0.4824576564858396,0.015260075218975544,0.05530552193522453,0.051556311547756195,0.10686183720827103
0,1,1,Attribute Recognition,3,19,6,0,14,5493,27021,26924,5479,64,5415,21431,128,0.8419439400232973,0.016771912844343734,0.8440438547234964,0.9974616391601212,0.6871744911906946,0.0014273098204284906,0.0012440979480743408,0.00273287296295166,0.003976970911026001
0,1,1,Attribute Recognition,3,19,6,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7712064827287506,0.020453708847029073,0.7732043176909839,0.9973459537066348,0.6620429265971447,0.0602230429649353,0.0887603834271431,0.17387767136096954,0.26263806223869324
0,1,1,Attribute Recognition,3,19,6,2,14,5493,27021,26924,5479,64,5415,21431,128,0.8198349481798272,0.025292801960980698,0.8263239234116069,0.9918992220664031,0.7818799567172056,0.014694256708025932,0.02692033350467682,0.0964994728565216,0.12341980636119843
0,1,1,Attribute Recognition,3,19,6,3,14,5493,27021,26924,5479,64,5415,21431,128,0.5916061723564465,0.026671206414328887,0.5942822736363306,0.9952853257531136,0.6208975637564833,0.011540515348315239,0.014660345390439034,0.024010855704545975,0.03867120295763016
0,1,1,Attribute Recognition,3,19,7,0,14,5493,27021,26924,5479,64,5415,21431,128,0.889640635252384,0.02435535178410993,0.8931926269414666,0.9959117871762175,0.6848170627505662,0.013716588728129864,0.04957258328795433,0.1077093631029129,0.15728195011615753
0,1,1,Attribute Recognition,3,19,7,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7598893572745063,0.026964153355401692,0.7653898440880865,0.992551062505538,0.5930263165273407,0.017156660556793213,0.02265310473740101,0.033009231090545654,0.05566233769059181
