layer,head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,b_quantile_class,s_threshold_class
0,0,0.770666926372342,0.7584772211749379,0.76457207377364,0.25835418802680465,1.3190300254419607,1.3687378611506484,1.271322275080332,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,1,0.9210050287770062,0.9113737090331752,0.9161893689050907,1.5318996780341954,5.03251769246207,5.348174630141839,4.740954509595546,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,2,0.7306218608850386,0.7264262199765299,0.7285240404307842,0.04412062700473843,1.0770898509161029,1.0887474468568477,1.0657350631748759,0.718465934130704,82,current_oriented_top20,mixed
0,3,0.8248714819187071,0.8302052030112685,0.8275383424649878,0.7789352617745449,2.483772815510799,2.4208239275144368,2.5617682334126495,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,4,0.7973182939174699,0.8170597760415659,0.8071890349795179,0.5296377627415285,1.7558759294535682,1.6368668130258235,1.8844973357712351,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,5,0.8386599744965391,0.8431419388550084,0.8409009566757737,0.7552027501605322,2.379740467823444,2.319526800295202,2.444790790720684,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,6,0.7682296288449589,0.7649625005518518,0.7665960646984054,0.24455679555723714,1.3285008595287584,1.346947020146905,1.3212072151463206,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,7,0.8290490529886106,0.8262222154838282,0.8276356342362194,0.6738626708933968,2.108406703974695,2.1049524313066064,2.129886252851021,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,8,0.8037124068998709,0.8099392888749518,0.8068258478874113,0.5126215553942305,1.6941324552409753,1.658592272095564,1.733451074216424,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,9,0.7401791996345287,0.7280294829752387,0.7341043413048838,0.08306302658940619,1.1082629208681454,1.1429717228180025,1.0752464162140358,0.718465934130704,82,current_oriented_top20,mixed
0,10,0.8148898460516115,0.7902640518618793,0.8025769489567455,0.5314993414865308,1.7905042501052824,1.9196240538504066,1.707115235852032,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,11,0.8348640574187767,0.831395884112614,0.8331299707656954,0.7101775118515122,2.1225266681102295,2.1431629890348853,2.103781240742381,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,12,0.8246690790827681,0.8305668402008894,0.8276179596418287,0.6669056363909431,2.0088257816311637,1.9617632351270535,2.0582141381938284,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,13,0.7414032616993276,0.7398213914981703,0.740612326598749,0.10299626519859917,1.1386638946433116,1.1395162496624924,1.139131982152055,0.718465934130704,82,current_oriented_top20,mixed
0,14,0.777945768905849,0.7749710112083249,0.776458390057087,0.34612301850520816,1.4578556852652866,1.4726903838355367,1.443244703659197,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,15,0.0,0.0,0.0,-27.631021115928544,1.000000000000001e-12,0.0,0.0,0.718465934130704,82,memory_oriented_bottom20,memory_mass_lt25
0,16,0.8034885205873629,0.8094499013045939,0.8064692109459783,0.5046573299674842,1.8203714410432459,1.766768192372671,1.8783792896968563,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,17,0.8185469966109206,0.8222095159495749,0.8203782562802477,0.6176576526925281,1.878261504976887,1.8543345884578983,1.903225030840897,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,18,0.8300036795255614,0.8239115262176933,0.8269576028716273,0.6969343621698504,2.0634571504962786,2.1113140466736584,2.0172392100822636,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,19,0.8221459076171969,0.8296864948621611,0.8259162012396789,0.6654479526327555,2.0135683950803758,1.9562710327346151,2.072776778442104,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,20,0.7669788137441729,0.7658134066477055,0.7663961101959391,0.2666656301403768,1.3601365772274823,1.3643028416284702,1.3567164365838214,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,21,0.8070654752777844,0.7997556419634237,0.8034105586206041,0.4788641898212124,1.6403533835101871,1.6818232463627327,1.6021890029674624,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,22,0.844421741439075,0.8414763154053106,0.8429490284221929,0.7931439602806338,2.226778151056839,2.25221421224315,2.2024818615215582,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,23,0.8643558090779839,0.8617235276757217,0.8630396683768529,0.9215273106193137,2.5982946060926952,2.6236953488210353,2.5759337195535985,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,24,0.8692742564329287,0.8723870828384306,0.8708306696356797,0.9973497112246468,2.789798100651104,2.7441763034680995,2.8395992328480975,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,25,0.8602138067164072,0.8619528972521061,0.8610833519842567,0.9057499866245299,2.5704407448793414,2.5475826016286525,2.595242514842894,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,26,0.8464218966844606,0.8324812294506445,0.8394515630675525,0.7326125456902725,2.153765513621051,2.2830861472501986,2.0371104406147467,0.718465934130704,82,current_oriented_top20,current_mass_gt75
0,27,0.8513291547211205,0.8473428865758384,0.8493360206484795,0.8113142920692911,2.3313950654435565,2.3754026904338743,2.289277342761435,0.718465934130704,82,current_oriented_top20,current_mass_gt75
