layer,local_current_share,global_current_share,current_token_fraction,local_current_share_minus_token_fraction,global_current_share_minus_token_fraction,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio
0,0.7857975687974422,0.783965970035837,0.7184659341307041,0.06733163466673811,0.06550003590513305,1.9512167531763325,1.9303756188406553
1,0.7838269477216884,0.7889409961214594,0.7184659341307041,0.06536101359098435,0.07047506199075537,2.4413560489257504,2.6972767890654894
2,0.4052935169384253,0.4191382085267237,0.7184659341307041,-0.31317241719227873,-0.29932772560398035,0.3181549422002806,0.34057723871656964
3,0.5502714951071793,0.5595959970397077,0.7184659341307041,-0.1681944390235248,-0.1588699370909963,0.7224859662622923,0.7713053497788618
4,0.6580920591678645,0.6744150992892382,0.7184659341307041,-0.06037387496283948,-0.044050834841465804,1.4116659151269115,1.5204661819681877
5,0.6301786517053081,0.6360409984248285,0.7184659341307041,-0.08828728242539605,-0.08242493570587557,0.9985171555819717,1.0474169762612024
6,0.5753639372429106,0.5816202009719786,0.7184659341307041,-0.1431019968877934,-0.13684573315872536,0.9179120642881037,0.9508281462235241
7,0.4328204881309009,0.4571154658517959,0.7184659341307041,-0.2856454459998031,-0.2613504682789081,0.3442471215804837,0.38333766024644106
8,0.41847413203091166,0.43450854690243,0.7184659341307041,-0.29999180209979237,-0.283957387228274,0.39158527374777446,0.42695973786022046
9,0.46946177446021364,0.4852221430535266,0.7184659341307041,-0.24900415967049042,-0.23324379107717746,0.39433451067860714,0.422539660639579
10,0.4976629087728211,0.5264121034188287,0.7184659341307041,-0.22080302535788293,-0.19205383071187535,0.606785296752906,0.6839239970385016
11,0.5519722930637581,0.5558194808235217,0.7184659341307041,-0.16649364106694595,-0.16264645330718236,0.742130424661841,0.7703617427494857
12,0.5355006721315302,0.5411778138999143,0.7184659341307041,-0.18296526199917387,-0.1772881202307898,0.5034979167378115,0.5092924670559655
13,0.5287340638383522,0.5342453777650533,0.7184659341307041,-0.18973187029235183,-0.1842205563656507,0.4782121970126801,0.4889462278987109
14,0.45704420535980955,0.45822840385732827,0.7184659341307041,-0.26142172877089453,-0.26023753027337576,0.36521061565378155,0.36888611928125004
15,0.5596218028118776,0.5608830248437277,0.7184659341307041,-0.1588441313188265,-0.15758290928697635,0.6795742329735737,0.6851193281507139
16,0.46452597088670483,0.45970523256471035,0.7184659341307041,-0.25393996324399926,-0.2587607015659937,0.38577062006105217,0.37275781306902184
17,0.4979838886596782,0.49811159416819023,0.7184659341307041,-0.2204820454710259,-0.22035433996251383,0.4300725237703281,0.4245906388387084
18,0.4703910426145049,0.46454197104173484,0.7184659341307041,-0.2480748915161992,-0.2539239630889692,0.4326689672524669,0.45475850505980897
19,0.35266037082773793,0.3438651071962973,0.7184659341307041,-0.3658055633029661,-0.3746008269344067,63.66357638969094,89.74906456978489
20,0.3844445339121729,0.3735270051395955,0.7184659341307041,-0.33402140021853116,-0.3449389289911085,0.2615503308522265,0.24870416660750935
21,0.35435982622800044,0.3546610125389197,0.7184659341307041,-0.3641061079027036,-0.36380492159178435,0.23544441786503825,0.23623016591991847
22,0.28403751895672114,0.2833424137660037,0.7184659341307041,-0.43442841517398284,-0.43512352036470026,0.17574001491785318,0.17595785103603637
23,0.3342343029494718,0.331793035971137,0.7184659341307041,-0.3842316311812322,-0.386672898159567,0.2241883810012494,0.22209299552799538
24,0.370875454795967,0.3651167905814613,0.7184659341307041,-0.347590479334737,-0.3533491435492428,0.30258467588302934,0.30173904850360206
25,0.3760741290000335,0.375364443735067,0.7184659341307041,-0.3423918051306705,-0.34310149039563703,0.28227527877348324,0.2822815521680247
26,0.33919030347648754,0.3463589163854652,0.7184659341307041,-0.3792756306542165,-0.37210701774523885,0.34476585625514683,0.5170307910309752
27,0.28581158996767614,0.27753992769701885,0.7184659341307041,-0.4326543441630279,-0.4409260064336852,0.24155948761614213,0.21581986515791338
