layer,local_current_share,global_current_share,global_minus_local_current_share,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio,prev_visual_tokens,current_chunk_tokens
0,0.35784869342738423,0.3519219809907661,-0.005926712438468821,225048.22617307515,131546.36718281612,5964.09756097561,17676.414634146342
1,0.35237213760628694,0.35110803214038466,-0.0012641054650910405,796085.8548927782,583930.4975529222,5964.09756097561,17676.414634146342
2,0.118948765423659,0.11761096913300087,-0.0013377962906581306,0.6745260649719875,0.5915541971390708,5964.09756097561,17676.414634146342
3,0.160554074151049,0.15970164946806684,-0.0008524246807638846,27.923833258739524,47.48282211844338,5964.09756097561,17676.414634146342
4,0.22903021442286797,0.23043836076043628,0.001408146342545184,0.7982375036904765,0.881842996255005,5964.09756097561,17676.414634146342
5,0.1841889950771604,0.17390426425968952,-0.01028473081858636,0.9600896936229374,0.7981178820343305,5964.09756097561,17676.414634146342
6,0.164324670908158,0.16823250280605406,0.003907831916282421,1.6800947504067447,1.643549492529003,5964.09756097561,17676.414634146342
7,0.08935887316191797,0.0886910087210637,-0.000667864438147969,0.12172168040172894,0.12434223869660874,5964.09756097561,17676.414634146342
8,0.15112403626970494,0.15581568121944367,0.004691644943089754,0.20586702087339143,0.2252095681792547,5964.09756097561,17676.414634146342
9,0.1231564013487704,0.1223034953743211,-0.0008529059676550214,0.09823003768697194,0.09145734443870839,5964.09756097561,17676.414634146342
10,0.14775691379411476,0.1479136039304883,0.00015669013848390028,1.2467940859822702,1.365384945743698,5964.09756097561,17676.414634146342
11,0.19120901298915652,0.1940116003277942,0.002802587336102478,1.1530626452042052,1.3249933685882076,5964.09756097561,17676.414634146342
12,0.1666854257832053,0.16703276108699544,0.000347335302719016,0.21718594912604752,0.21468026805253246,5964.09756097561,17676.414634146342
13,0.17468187728179116,0.1871550434399411,0.012473166164594032,0.9854608946886535,0.8867580229296929,5964.09756097561,17676.414634146342
14,0.21233114033647665,0.2283868863529779,0.016055746006203686,0.18637253836643855,0.1979710202998568,5964.09756097561,17676.414634146342
15,0.3115532043666209,0.31317393374904134,0.0016207293852344756,2.362312741905018,2.431536068321863,5964.09756097561,17676.414634146342
16,0.19331123580023316,0.19641768584556826,0.0031064500465266282,0.1592525739121434,0.17172065341451392,5964.09756097561,17676.414634146342
17,0.21779260275537027,0.22562137447384378,0.007828771714924247,0.43393890614407776,0.4533734806857006,5964.09756097561,17676.414634146342
18,0.2027602931797501,0.2150776505352106,0.012317357354446454,0.556317357464367,1.0349353047074177,5964.09756097561,17676.414634146342
19,0.1404315900502473,0.15125001449429992,0.01081842445665003,214.53616592459474,20.398204254655887,5964.09756097561,17676.414634146342
20,0.17207108766330528,0.1807457381970564,0.008674650535475014,0.21132605002908778,0.26509890245471046,5964.09756097561,17676.414634146342
21,0.173848868317371,0.17819711448927328,0.004348246171724806,0.23002588357153256,0.26158231797283876,5964.09756097561,17676.414634146342
22,0.10616621679354148,0.11229975341107742,0.0061335366205785505,0.055240007004207066,0.05924051480473002,5964.09756097561,17676.414634146342
23,0.17445869208572112,0.18103665806196317,0.006577965981312395,0.15379305909264962,0.16043247373913372,5964.09756097561,17676.414634146342
24,0.16653573738668084,0.16999768921735867,0.0034619518264820924,0.4894779105322512,0.5425819006948092,5964.09756097561,17676.414634146342
25,0.20204590608879766,0.21373872065957017,0.011692814570772526,0.29515608784979236,0.3452958401067388,5964.09756097561,17676.414634146342
26,0.2243124322461444,0.23552230661208637,0.011209874362696956,0.20096699792645525,0.21458429828904146,5964.09756097561,17676.414634146342
27,0.16536806952455793,0.17359041910186093,0.008222349577645748,25787.174684229532,19706.574035964153,5964.09756097561,17676.414634146342
