layer,head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,b_quantile_class,s_threshold_class
0,0,0.3501745745448804,0.3444514935609044,0.3473130340528924,-1.6819642468007059,0.7450550748244947,0.6104501339993099,0.9760803087818913,0.7184065879154723,82,current_oriented_top20,mixed
0,1,0.34065552617894573,0.3473254783620643,0.343990502270505,-0.3744731577890989,743667.4232196872,983024.4574702153,602194.9200148954,0.7184065879154723,82,current_oriented_top20,mixed
0,2,0.265065689173686,0.26874858338567537,0.2669071362796807,-2.1929546679523804,6.928553469318902,5.985071107818995,8.447048759258283,0.7184065879154723,82,current_oriented_top20,mixed
0,3,0.12802683726206338,0.13103907629867842,0.1295329567803709,-7.804830902288641,495.5324621880745,860.9706722569372,285.5993188751,0.7184065879154723,82,memory_oriented_bottom20,memory_mass_lt25
0,4,0.19885622579377232,0.2056893162633769,0.2022727710285746,-2.591718041523567,0.10671374026762767,0.10179050743761582,0.11263633224113681,0.7184065879154723,82,mixed,memory_mass_lt25
0,5,0.31998494189096294,0.31148455436795763,0.3157347481294603,-0.9830669526645072,400628.6358258633,520534.3978014831,374542.1624670981,0.7184065879154723,82,current_oriented_top20,mixed
0,6,0.2939812946644407,0.29029526327532235,0.29213827896988154,-1.2628291809835384,179542.0648067947,269879.0078622764,153403.9979067054,0.7184065879154723,82,current_oriented_top20,mixed
0,7,0.316854114320538,0.3166868147928631,0.31677046455670055,-1.7129924303917117,1793.211487829498,404.46346241352717,59868.0503199056,0.7184065879154723,82,current_oriented_top20,mixed
0,8,0.3948758684507594,0.40316749445912314,0.39902168145494127,-1.1235471379278725,21.169784456867035,12.422310601272507,37.95005544809988,0.7184065879154723,82,current_oriented_top20,mixed
0,9,0.32815371608793187,0.32766459533581277,0.32790915571187235,-1.862062753872375,1.9527893230770152,2.2084755151654685,1.7303158082593255,0.7184065879154723,82,current_oriented_top20,mixed
0,10,0.2940440063347767,0.24137560791221,0.26770980712349335,-3.2002290434810567,2068.4860509257696,815.2650445063681,5329.340109294369,0.7184065879154723,82,mixed,mixed
0,11,0.40730230776002496,0.39764527835678765,0.4024737930584063,-1.08179448899593,17.872250778494486,18.33954938467047,17.512579241966282,0.7184065879154723,82,current_oriented_top20,mixed
0,12,0.4200430385450401,0.4165655161685696,0.41830427735680487,-1.0946490867402543,6.263710793031156,6.865831783382085,5.720983026049486,0.7184065879154723,82,current_oriented_top20,mixed
0,13,0.3250460384822473,0.32494293333871693,0.32499448591048213,-1.9429401674778692,2.24768382536573,2.5974787650175575,1.9668830679360458,0.7184065879154723,82,current_oriented_top20,mixed
0,14,0.7128669950293332,0.7075414866572474,0.7102042408432903,0.11669762297322633,1.7601764448169244,1.748433950470715,1.7751372020419052,0.7184065879154723,82,current_oriented_top20,mixed
0,15,0.1111070893068866,8.934200761315168e-09,0.05555354912054368,-25.157898750682612,6.700156571243633e-07,5.4374281932215105,2.4900244034697387e-09,0.7184065879154723,82,memory_oriented_bottom20,memory_mass_lt25
0,16,0.3590396643849089,0.3627848484043724,0.3609122563946407,-1.2914836938194352,7237.252741033087,2711.8241123103376,19393.271539461715,0.7184065879154723,82,current_oriented_top20,mixed
0,17,0.33812043280908605,0.3450226032788433,0.3415715180439647,-1.7825597013702839,1.5123896598769997,1.408600382438702,1.6324011970356833,0.7184065879154723,82,current_oriented_top20,mixed
0,18,0.43760824987165087,0.40427000007433134,0.4209391249729911,-1.1635504703652493,2.8463525717709492,3.020925143779051,2.688963760871713,0.7184065879154723,82,current_oriented_top20,mixed
0,19,0.6014287034731086,0.6055339546647014,0.603481329068905,-0.09419857737574311,7.640128236136681,8.165306501726551,7.230459514551047,0.7184065879154723,82,current_oriented_top20,mixed
0,20,0.2806911108072665,0.2789783233481391,0.2798347170777028,-2.228298181446692,4.310069274600603,4.91146884548546,3.887390898517901,0.7184065879154723,82,current_oriented_top20,mixed
