name,layer,kv_head,score,internal_share,memory_start_boundary_share,previous_boundary_share,current_start_boundary_share,transition_boundary_share,current_core_share,current_share,clean_internal_share,boundary_ratio_in_memory
L0-KV3,0,3,0.0096837521514136,0.08373672787489933,0.0010918153244137698,0.5598180569334384,0.0025385998929813585,0.5634484721508335,0.3528147999742149,0.35535342091737976,0.19181407584909727,0.8698840722629649
L0-KV1,0,1,0.0137321853122285,0.0482557896275788,0.0005884425475256485,0.6349223280578163,0.007879199822027595,0.6433899704273696,0.3083542399449987,0.3162334389773285,0.13531809434919603,0.929365727065266
L0-KV2,0,2,0.0255148056003327,0.19485692138010616,0.0027768945252651433,0.3351467027156,0.01221172783638802,0.35013532507725315,0.4550077535426092,0.46721947573348266,0.2998423039431554,0.6323479453322766
L0-KV0,0,0,0.0353523871060127,0.19688204488974656,0.0023778548684252757,0.6023529358467086,0.005077925981771885,0.6098087166969057,0.19330923841330092,0.19838716229837097,0.5045782756167101,0.7536618771260927
