layer,kv_head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,query_heads_observed,b_quantile_class,s_threshold_class
0,0,0.25711094749529856,0.2556546746864465,0.2563828110908725,-2.4862268188538046,0.2908678968236993,0.28521069711928326,0.29922525214631074,0.7184065879154723,82,7.0,mixed,mixed
0,1,0.35698490855815096,0.35315717769656757,0.35507104312735926,-1.6264739225991802,4.026735534676123,4.440114033040388,3.661631594886559,0.7184065879154723,82,7.0,current_oriented_top20,mixed
0,2,0.4392275417509936,0.4502891609896639,0.44475835137032876,-1.145265918106228,0.8832595390073964,0.9228175096127218,0.8524977222407659,0.7184065879154723,82,7.0,current_oriented_top20,mixed
0,3,0.407257837768054,0.421210118609344,0.414233978188699,-0.31058906627488814,1176496.5736924626,1425558.0468229477,1013476.995691938,0.7184065879154723,82,7.0,current_oriented_top20,mixed
1,0,0.44851956649204044,0.43901109269349614,0.44376532959276827,-1.1551306109986181,1.4026470220459804,1.3178618290870654,1.525657719599028,0.7184065879154723,82,7.0,current_oriented_top20,mixed
1,1,0.2511979340256201,0.2740839585314035,0.26264094627851176,-2.365533468931131,0.5534542207083722,0.5017751287572361,0.6149387723899433,0.7184065879154723,82,7.0,current_oriented_top20,mixed
1,2,0.3524861161159423,0.3528241285456947,0.3526551223308185,-1.5867248723364267,3.6125742406234065,3.140993576839177,4.17111009799853,0.7184065879154723,82,7.0,current_oriented_top20,mixed
1,3,0.3425409042735527,0.3429938693713525,0.3427673868224526,-1.6232413079019483,2.1709241392991534,1.8373956622078722,2.5722043569275885,0.7184065879154723,82,7.0,current_oriented_top20,mixed
2,0,0.11399661886455799,0.1168417861065141,0.11541920248553603,-3.732243210092334,0.08999067859518713,0.08889939341408143,0.09136820520559077,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
2,1,0.10808332922735578,0.10711066885618005,0.10759699904176791,-4.448847069078467,0.40398485065379425,0.37761331255366254,0.4389166699590728,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
2,2,0.10442674032335397,0.10592565117220429,0.10517619574777912,-4.1589410259409725,0.11517183878519376,0.11463162324347753,0.11614803538429858,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
2,3,0.14030127568724426,0.13041701729851216,0.13535914649287822,-3.7590877049777838,0.19168620738911443,0.2186775289129023,0.1697573101683225,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
3,0,0.12386559082220903,0.12278108563944784,0.12332333823082843,-4.723411066292757,0.8887379341871099,0.6931735507291362,1.152405310995888,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
3,1,0.26080026393613526,0.25847110412776086,0.2596356840319481,-2.442117308661508,0.31346528847528815,0.3132437842379703,0.3140921770390994,0.7184065879154723,82,7.0,mixed,mixed
3,2,0.10223897855838134,0.09764928238675598,0.09994413047256867,-4.336284364651313,0.1844709165112237,0.16614890713205793,0.20644561079937543,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
3,3,0.14496258841464918,0.14273064374982736,0.14384661608223828,-4.025505347607943,8.85374515005005,6.7744964964625165,11.60468031849705,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
4,0,0.16470920776167472,0.17467422592625784,0.16969171684396628,-2.902328165551702,0.10564355223442044,0.09531076326684584,0.11868816295688156,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
4,1,0.27831496137515416,0.2930230620349635,0.2856690117050588,-2.1002790440277077,0.14937826271006974,0.14409983237285387,0.1566467913891999,0.7184065879154723,82,7.0,current_oriented_top20,mixed
4,2,0.21742948247544477,0.20755686763997594,0.21249317505771037,-3.0728214111232046,0.3047308758687878,0.2958737422532067,0.3163052028719114,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
4,3,0.19462169013731564,0.19566861592375603,0.19514515303053584,-2.856157455103595,0.14264796265195828,0.13718289065546446,0.14928073330122546,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
5,0,0.3010304304262891,0.29435194251249824,0.2976911864693937,-2.001174669257152,0.2826017718483884,0.276816984485963,0.29199498233526733,0.7184065879154723,82,7.0,current_oriented_top20,mixed
5,1,0.08861118615677835,0.07626801362051996,0.08243959988864916,-3.8421865559620882,0.03602179285495253,0.040476116990615756,0.03243297307271586,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
5,2,0.08179933522583392,0.07353893332902324,0.07766913427742858,-3.687840373012456,0.030127100655784726,0.0322567035325628,0.028371929504315278,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
5,3,0.19593576007554936,0.18338143455158745,0.18965859731356838,-3.1225989776891256,0.1928909878415663,0.1969289500595813,0.1918814090697002,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
6,0,0.1607895282458616,0.16492978274803136,0.16285965549694645,-4.1215258144726,1.2134479325169831,1.102840925020933,1.3744327084456123,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
6,1,0.10378364172317346,0.10950046183998749,0.10664205178158048,-3.6567883603526714,0.05730086718973762,0.056575571674441875,0.058367184874726294,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
6,2,0.2353507913725212,0.24125516304944591,0.23830297721098356,-2.5972883010284042,0.5045442684662856,0.4488221108740417,0.5855864339856058,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
6,3,0.1576590475390462,0.16132530077841403,0.1594921741587301,-3.4535071968588107,0.3249630790571958,0.3431152328023833,0.308799610248481,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
7,0,0.049975526347864806,0.05192919945054329,0.050952362899204046,-5.186237712661163,0.022105222444739735,0.02224136777755937,0.022415164974372927,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
7,1,0.08647768585578623,0.08668966021690439,0.08658367303634532,-5.001515591142864,0.07199196793283992,0.07545764172674795,0.06945562082486033,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
7,2,0.07297729170292687,0.06614771243209878,0.06956250206751283,-4.308112605104246,0.033107529293012326,0.035116062942510476,0.03148381635722494,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
7,3,0.069835446124076,0.07463771497908724,0.07223658055158162,-4.2179270052667155,0.03717411294172294,0.035604070815725225,0.03924471870447995,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
8,0,0.172740114228561,0.17636691908634194,0.17455351665745147,-2.918405271268945,0.10925800392365725,0.10788193458685987,0.11104164768870893,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
8,1,0.09224130588658931,0.09041382257152736,0.09132756422905833,-4.588850004039274,0.06673457996230121,0.0711359878983663,0.06344123082768557,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
8,2,0.14538583126146745,0.1478516723725088,0.1466187518169881,-4.1922193412609365,0.3051505099048845,0.2866653084756358,0.3302354299615525,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
8,3,0.16732335154944322,0.18855560816638198,0.17793947985791259,-2.7076190016486112,0.0830324649899617,0.07610946804698575,0.0912274996618714,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
9,0,0.14093696031781422,0.14988862826585794,0.1454127942918361,-2.9864073462916894,0.06721892071237652,0.0642462162526947,0.07053708383047012,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
9,1,0.0917387931943473,0.09434038485266884,0.09303958902350808,-3.634306631551933,0.04356697611971402,0.04289862566018546,0.04455083164319593,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
9,2,0.11695371243229849,0.11557496481097713,0.11626433862163782,-3.553884143471526,0.06634221362210499,0.06801424723403598,0.06511294842720677,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
9,3,0.09919282534094223,0.09619607819110103,0.09769445176602162,-3.7067481715691573,0.047019583357833905,0.047714506988406964,0.04652948478144675,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
10,0,0.20302587018770857,0.20028143284704417,0.20165365151737638,-2.668800596160947,0.1345394379490241,0.13389509792263546,0.1356118493222394,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
10,1,0.11355190237435857,0.11328395272166683,0.11341792754801269,-4.191099492356039,0.10241503434475319,0.09996763562248877,0.10555893008853268,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
10,2,0.129638986103965,0.12965375151623004,0.12964636881009753,-3.727545179040659,0.13890409210989701,0.12823006912006185,0.1510983957067074,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
10,3,0.1389747570975777,0.14157474565650974,0.1402747513770437,-4.666001549409996,0.9268889908589165,0.8521112510467498,1.0166821154918955,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
11,0,0.3002700313485492,0.3001234627112207,0.30019674702988497,-1.9194223815333942,1.225510778581387,1.1741878789373428,1.2801114057389218,0.7184065879154723,82,7.0,current_oriented_top20,mixed
11,1,0.1684568254285192,0.17803340343456112,0.17324511443154017,-2.899989085291313,0.10597268364172484,0.09703515454774167,0.11734928918358768,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
11,2,0.15933826168473258,0.15809310817744526,0.15871568493108892,-3.91822167086035,0.6567355537799666,0.6146160472549705,0.7048635021562676,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
11,3,0.1518197887190836,0.16175654314207857,0.1567881659305811,-2.93206554443682,0.08107223058532302,0.07751009095138017,0.0852361881984598,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
12,0,0.11715581878696271,0.11844629030885825,0.1178010545479105,-3.899289473814214,0.09470062747730526,0.09211523080483798,0.09767532600583165,0.7184065879154723,82,7.0,memory_oriented_bottom20,memory_mass_lt25
12,1,0.23369028777803783,0.22923291288485861,0.2314616003314482,-2.446774390214335,0.17497424910753473,0.1781241272621354,0.17225221516368727,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
12,2,0.10777519945122506,0.12071078621969078,0.11424299283545793,-3.341820397617639,0.05398031358994463,0.05030123834657891,0.05821649325325155,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
12,3,0.19133272395319909,0.18345546818413755,0.1873940960686683,-2.8103747049159433,0.12832571234976475,0.1327994437580629,0.12552778854534488,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
13,0,0.1263847856742254,0.14848212732190946,0.13743345649806743,-3.223044252510213,0.08347734057609098,0.07287370341093552,0.09637505021387613,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
13,1,0.20595063678192088,0.21674472273005185,0.2113476797559864,-2.7880613697769734,0.3094771467817731,0.2714480669273949,0.35579536006152196,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
13,2,0.18912279142058394,0.205710035342651,0.19741641338161747,-2.8505262834964853,0.17190711726122837,0.15415305239318894,0.1928468089521916,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
13,3,0.1909335691283031,0.20479205160582087,0.19786281036706196,-2.908945821535418,0.20818685239717583,0.18504436713726782,0.23688681023668887,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
14,0,0.08103965324239945,0.12417463009548338,0.10260714166894143,-3.354554817448108,0.04344568023412537,0.03386279898161529,0.05655868085722071,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
14,1,0.41007745531602374,0.4212329894557461,0.415655222385885,-1.3588238512528323,0.3188436073355101,0.3167864928345231,0.3227565273645562,0.7184065879154723,82,7.0,current_oriented_top20,mixed
14,2,0.15742482724328705,0.16201732000186536,0.1597210736225762,-2.904044703835749,0.08982197210615227,0.08687517464574504,0.09396365569526073,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
14,3,0.22287744637447446,0.228358149822214,0.22561779809834423,-2.4091289970572514,0.1434292856502321,0.13833231783445335,0.15011832506225353,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
15,0,0.3731786598332888,0.36113918365130987,0.3671589217422993,-1.592210360005459,0.448097042464234,0.4920930146036513,0.4119387157402008,0.7184065879154723,82,7.0,current_oriented_top20,mixed
15,1,0.32793769807757234,0.3357503727141531,0.33184403539586277,-1.7460579381439785,6.067122447577369,5.602398621481545,6.586660670108027,0.7184065879154723,82,7.0,current_oriented_top20,mixed
15,2,0.35282555016912964,0.35701755371858507,0.3549215519438574,-1.6321304102735115,0.2091002530284134,0.20783521089909507,0.21245650909077554,0.7184065879154723,82,7.0,current_oriented_top20,mixed
15,3,0.22128128725414406,0.2251588162923519,0.223220051773248,-2.556501879634286,0.20544431356568899,0.20284497900549733,0.20947856908958523,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
16,0,0.20993095381832733,0.20429107665291416,0.20711101523562075,-2.431830141716978,0.10881412418688538,0.1115861469727128,0.10740398164800181,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
16,1,0.09175029913935467,0.0955768346578843,0.09366356689861949,-3.3411553781935726,0.040551762678500136,0.03992985124647162,0.04141522479724171,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
16,2,0.22006058617470242,0.21841979683714247,0.21924019150592244,-2.361356151146365,0.11781542552514303,0.11891509764013924,0.11754450370077728,0.7184065879154723,82,7.0,current_oriented_top20,memory_mass_lt25
16,3,0.22182921534993977,0.23361740751010066,0.22772331143002023,-2.4725112964084026,0.1738819490955654,0.16064596530257816,0.1892341012403637,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
17,0,0.27676510010287303,0.28076371387993915,0.2787644069914061,-2.1373133945353473,0.4982011529350268,0.4790899547196548,0.5197121958495214,0.7184065879154723,82,7.0,current_oriented_top20,mixed
17,1,0.10313871933943392,0.10452846598683947,0.1038335926631367,-3.3881122430558914,0.0457523367301485,0.0458541386171209,0.04607324096319068,0.7184065879154723,82,7.0,mixed,memory_mass_lt25
