layer,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio
0,0.3651453088931243,0.3700777829955055,0.3676115459443149,-1.3921389314585253,294125.44363885827
1,0.3486861302267889,0.3522282622854867,0.3504571962561378,-1.682657565042031,1.9348999056692282
2,0.116701991025628,0.11507378085835265,0.11588788594199032,-4.02477975252239,0.2002083938558224
3,0.15796685543284372,0.15540802897594802,0.15668744220439587,-3.8818295218033803,2.560104822305918
4,0.21376883543739733,0.2177306928812383,0.21574976415931782,-2.732896518951552,0.17560016336630907
5,0.16684417797111267,0.15688508100340723,0.16186462948725994,-3.1634501439802056,0.135410413300173
6,0.16439575222015063,0.16925267710396968,0.16682421466206016,-3.4572774181781214,0.5250640368075505
7,0.06981648750766348,0.06985107176965842,0.06983377963866096,-4.678448228543747,0.04109470815307873
8,0.14442265073151525,0.15079700554919,0.14760982814035262,-3.6017734045544416,0.14104388969520115
9,0.11220557282135056,0.11400001403015124,0.1131027934257509,-3.4703365732210765,0.056036923453007356
10,0.14629787894090246,0.14619847068536268,0.14624817481313257,-3.8133617042419106,0.32568688881564767
11,0.19497122679522114,0.19950162936632643,0.1972364280807738,-2.9174246705304694,0.5173228116471004
12,0.16248850749235616,0.1629613643993863,0.16272493594587123,-3.124564741640533,0.11299522563113734
13,0.1780979457512583,0.1939322342501083,0.1860150900006833,-2.9426444318297724,0.19326211425406709
14,0.2178548455440462,0.2339457723438272,0.2259003089439367,-2.506638092398485,0.14888513633150496
15,0.3188057988335337,0.3197664815941,0.31928614021381685,-1.8817251470143088,1.7324410141589264
16,0.18589276362058105,0.1879762789145104,0.18693452126754573,-2.6517132418663296,0.11026581537152348
17,0.21559456110528202,0.21887837599974158,0.21723646855251177,-2.542096566025648,0.2161065055626978
18,0.20065422905680172,0.2153020816807887,0.20797815536879521,-2.674297608053758,0.20050175417397972
19,0.1388419526666374,0.15007541512170605,0.1444586838941717,-3.2059668906153815,0.14494202392297106
20,0.1663510448822622,0.1740950486666967,0.17022304677447944,-2.999101155793375,0.18291764285802625
21,0.16554545961268508,0.16936735055625213,0.16745640508446863,-2.9532022066927017,0.09543750905220386
22,0.10431489421053763,0.10875964640105867,0.10653727030579815,-3.4821359981979967,0.050445447139902316
23,0.17590409684184477,0.1845887083167893,0.18024640257931704,-2.858178189571538,0.1291340081716586
24,0.16944063660788644,0.17333806977132463,0.17138935318960555,-3.2014761036050245,0.1909663877396267
25,0.2052364364023601,0.21939409262086518,0.21231526451161264,-2.7165056462590007,0.19596014003915027
26,0.22627027148931528,0.23671293844673436,0.2314916049680248,-2.385779503168677,0.1331991243939967
27,0.162591395718848,0.16970052626035567,0.16614596098960185,-3.0192234201252304,10945.523005320772
