video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,num_internal_tokens,num_boundary_tokens,num_current_tokens,top_k_eff,internal_mass,boundary_mass,current_mass,memory_mass,visual_mass,internal_readout_share,memory_readout_share,current_readout_share,boundary_ratio,boundary_suppression,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak,internal_peak_to_median,internal_log_peak_to_median,readout_shape_score,peak_readout_shape_score,spiky_readout_score
0,1,1,Attribute Recognition,3,19,0,0,14,5450,26978,26924,5372,64,21474,32,0.019889160990715027,0.1410994827747345,0.0724911242723465,0.16098862886428833,0.23347976803779602,0.08518580071319137,0.6895185403710773,0.31048139580257356,0.8764562054429532,0.12354379455704678,0.23564127049122444,0.03547745628835986,0.09638075191556701,0.15535129901019942,0.14061671495437622,0.0007056168396957219,427.7055286372273,6.06077026980542,0.0024799304538792853,0.0003487196737398203,0.0008644566644780811
0,1,1,Attribute Recognition,3,19,0,1,14,5450,26978,26924,5372,64,21474,32,0.009942753240466118,0.15690863132476807,0.09877623617649078,0.16685137152671814,0.2656276226043701,0.03743117204055836,0.6281401380254832,0.37185980587281686,0.9404095986031595,0.059590401396840464,0.27410630901284483,0.05002967534001949,0.13281933924918965,0.19149628368382976,0.1571955680847168,0.0004974327166564763,585.6509297333404,6.37442997468614,0.0006114046936155247,9.611010814255462e-05,0.00029686069798494445
0,1,1,Attribute Recognition,3,19,0,2,14,5450,26978,26924,5372,64,21474,32,0.09239467233419418,0.14763391017913818,0.24820217490196228,0.24002860486507416,0.48823076486587524,0.18924385553496864,0.49162941407537525,0.5083706164433104,0.615067984340915,0.38493201565908497,0.20274366113553782,0.030538774766516962,0.06644137978122272,0.09795166366678994,0.1506231427192688,0.002821620088070631,529.1376313505882,6.273136654628249,0.014769068542990864,0.002224563518981576,0.004573207608352519
0,1,1,Attribute Recognition,3,19,0,3,14,5450,26978,26924,5372,64,21474,32,0.03253613039851189,0.09433383494615555,0.10560040920972824,0.12686996161937714,0.23247036337852478,0.1399581861770237,0.5457468202613539,0.45425321178393774,0.7435474381904769,0.25645256180952314,0.06077626867961058,0.005335888987981093,0.0169742186889201,0.028777161127694437,0.035883545875549316,0.00017360917991027236,37.10417947047983,3.640323973504259,0.0021814204521616726,7.827710086900492e-05,7.958487307588791e-05
0,1,1,Attribute Recognition,3,19,1,0,14,5450,26978,26924,5372,64,21474,32,0.035480767488479614,0.15525555610656738,0.11557026207447052,0.1907363384962082,0.3063066005706787,0.11583415904933062,0.6226974480478884,0.377302551948847,0.8139799543695228,0.18602004563047725,0.4071170981971492,0.1064562278378815,0.24937738179630897,0.30482481328994543,0.24231255054473877,0.0037771486677229404,1633.8491727227138,7.399305829976886,0.008772345720173493,0.002125649465715462,0.009634303971842567
0,1,1,Attribute Recognition,3,19,1,1,14,5450,26978,26924,5372,64,21474,32,0.03601757809519768,0.21253567934036255,0.10429956018924713,0.2485532909631729,0.35285285115242004,0.10207534947630982,0.7044106067180458,0.2955893932791202,0.8550909888012626,0.14490901119873745,0.33223019435085327,0.04002874507498451,0.12949380429380877,0.18892106703845746,0.19508063793182373,0.0014417384518310428,647.4891909815972,6.474645335894533,0.004914228754343716,0.0009586708803402835,0.002419331663224741
0,1,1,Attribute Recognition,3,19,1,2,14,5450,26978,26924,5372,64,21474,32,0.02241792157292366,0.07525848597288132,0.09897966682910919,0.09767640382051468,0.19665607810020447,0.11399556926680292,0.4966864221214042,0.5033135399871628,0.7704878868227181,0.22951211317728193,0.25782339870878823,0.035085547228178866,0.12057699161858812,0.165084358554328,0.17071592807769775,0.0007865450461395085,592.1293589841092,6.38541251852009,0.006745527426915949,0.0011515689750595207,0.0034389117430988505
0,1,1,Attribute Recognition,3,19,1,3,14,5450,26978,26924,5372,64,21474,32,0.031008267775177956,0.19642506539821625,0.10087001323699951,0.22743333876132965,0.32830333709716797,0.09445005356709484,0.6927536612072982,0.30724638417804984,0.8636599474252216,0.13634005257477844,0.2966465648640532,0.05598885131506677,0.11904329476880371,0.17016379157396086,0.20585370063781738,0.0017361172940582037,1241.341544303069,7.124753220102215,0.00382001430569433,0.0007863640813165804,0.002248325100903864
0,1,1,Attribute Recognition,3,19,2,0,14,5450,26978,26924,5372,64,21474,32,0.03639503940939903,0.25451624393463135,0.1019856408238411,0.2909112870693207,0.3928969204425812,0.09263253926324742,0.7404264883035516,0.2595735306570975,0.8748929836919951,0.12510701630800491,0.5160497451217865,0.14491659125109937,0.30736677277181584,0.368940191616664,0.3221251368522644,0.005274245049804449,3835.353218232322,8.2522775115954,0.005980490484984986,0.0019264663159194537,0.009468923183664166
0,1,1,Attribute Recognition,3,19,2,1,14,5450,26978,26924,5372,64,21474,32,0.036320388317108154,0.20779071748256683,0.17986436188220978,0.2441110908985138,0.42397546768188477,0.0856662497847027,0.5757670183905506,0.42423294646080917,0.8512137515624068,0.14878624843759325,0.4279835338067623,0.09819188937212728,0.21205889577330497,0.2879623484999201,0.2753148674964905,0.0035663675516843796,2764.591948578896,7.925009977328552,0.0054550609696835265,0.001501859388053697,0.005897372042325504
