layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,num_observations
0,0,0.00701315297068854,0.007710031375908219,0.0009016867694549465,0.002641627662621197,0.06196629528399013,0.5319246687964454,0.46807530161026123,0.4554127617545884,0.15868093411178336,0.2476039828793791,0.043265208907104724,0.1171743010217387,0.17325077520152027,0.14232152700424194,546.4112319801902,6.183340293351657,0.8410036511903997,0.026800553886279017,0.48262089453339824,0.48262089453339824,0.5173791054666017,4
0,1,0.002267569412705647,0.002336709793526999,0.00023817272607877505,0.0006698143197184066,0.03174001867967373,0.4154358527445826,0.5845641787945348,0.5655915061044909,0.07833716755060527,0.16965592688369116,0.026415009623752102,0.07685861063109127,0.11593680984287144,0.09539219737052917,286.3456531687492,5.010679065879567,0.7468524214802044,0.0311512393763437,0.40266854924431345,0.40266854924431345,0.5973314507556866,4
0,2,0.017411202633793536,0.021129807819737938,0.0030006426888068987,0.008422211286017535,0.11642293069265754,0.3708410073179378,0.6291589886649138,0.611285210180438,0.17743060356086104,0.22343440980659227,0.040780061825709236,0.09144632613585874,0.1265808238052817,0.1518411934375763,804.1793877421958,6.225048162838042,0.5958668487993528,0.028445204991048818,0.2722918611691021,0.2722918611691021,0.7277081388308979,4
0,3,0.0017631723374053156,0.001287626038795721,7.490193800817487e-05,0.0001058235494736928,0.049614715112494004,0.36485036850965713,0.6351496439345634,0.6297781548298916,0.11818372214907255,0.06790599929860186,0.007395960971085747,0.024316186046993687,0.037670090388318145,0.2871496230363846,59.47005647505593,3.205047657798236,0.8683348165271135,0.008332044134912063,0.3206071667359148,0.3206071667359148,0.6793928332640853,4
1,0,0.011702127684963905,0.011571622991636632,0.0024592306851007164,0.010501357967940828,0.07544117072222549,0.5171356687544151,0.4828643152150833,0.47154013370577463,0.16944073937661855,0.3151533802588747,0.06499080177335238,0.1808681376296397,0.23298207636127496,0.18679268658161163,978.1912498547437,6.537195069254363,0.776616036437438,0.02345645053350042,0.4530186749222149,0.4530186749222149,0.5469813250777851,4
1,1,0.009264805487863265,0.009724302522903232,0.0011945094576975028,0.003008826578767387,0.16696286628517493,0.6414611811489509,0.358538836245458,0.34762745292296915,0.25957983076633556,0.26353955669563717,0.03323113842328019,0.1052459429269397,0.16083132979454007,0.15290120244026184,510.5183273628946,5.562599933401365,0.6973223264540033,0.0289728479987513,0.48540967097665666,0.48540967097665666,0.5145903290233433,4
1,2,0.007327849163719222,0.007433844956441947,0.000915220487399689,0.0023223211050389667,0.05997971767666828,0.40747911506795903,0.5925208789381243,0.5767685694298786,0.12548875587011155,0.19848169047278622,0.02534328554094936,0.08010035739404524,0.12347204793067607,0.12447959184646606,332.0337095222701,5.707604071174759,0.7297007040178279,0.025278639497944927,0.36325170304090665,0.36325170304090665,0.6367482969590934,4
1,3,0.006510531291578191,0.0057896934707522656,0.0012850388003300653,0.0037908432798124453,0.0484674901535999,0.4796005933037571,0.520399437325672,0.5082078221526778,0.1434618419129883,0.268730690712316,0.03674635522378473,0.10079893785569827,0.1466196420782121,0.17759057879447937,719.1587561516855,6.287031228276369,0.7136950439738031,0.022974523359617492,0.4433247317207794,0.4433247317207794,0.5566752682792206,4
2,0,0.010699347296295089,0.011471935522176081,0.0029274974351990307,0.014384273677917024,0.060247421985210756,0.5834401982310177,0.4165598202614256,0.4108370327404437,0.15898702056290115,0.4369031490883558,0.09564514363211515,0.26080335976186186,0.3279396953959341,0.2661724090576172,2233.665445408542,7.349382218706068,0.6863777923046541,0.013859140687418676,0.52891555196094,0.52891555196094,0.47108444803906,4
2,1,0.009994626200086721,0.010059340646955245,0.0022322098273518157,0.007993715889602298,0.052865144973214644,0.4183015312351401,0.5816984273274008,0.5620118538418094,0.11206078657017145,0.3786271055117497,0.060580955017023035,0.1729348322264584,0.24417211275247244,0.23447240889072418,1435.5494345386492,7.1088655045297156,0.677192950792234,0.03349742709235703,0.3851230026149743,0.3851230026149743,0.6148769973850257,4
2,2,0.010765010767060735,0.009764162973522934,0.0026615491711617016,0.007393503196182929,0.05723599106845953,0.46975765231190153,0.5302423697220111,0.5183496127023037,0.12520861690927448,0.35915012673858104,0.043460838828469794,0.13322291852845056,0.2131130004158861,0.23535531759262085,1173.130745303327,7.012811002532491,0.68746751271177,0.022496101343987225,0.4244144253748307,0.4244144253748307,0.5755855746251692,4
2,3,0.006170455674149683,0.0053801762531319455,0.001156082546764749,0.0037704688833081024,0.041726652963081076,0.4588845253955574,0.5411154795974268,0.5316579524236905,0.10037486938151334,0.31498491530876715,0.04943141984349893,0.14134145269547166,0.19968175114311237,0.1945113241672516,853.0919089093059,6.744298805000559,0.7401879921257045,0.017702715685945964,0.42661538598409304,0.42661538598409304,0.573384614015907,4
