video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,memory_core_start,memory_core_end,num_internal_tokens,num_memory_start_boundary_tokens,num_boundary_tokens,num_current_start_boundary_tokens,num_current_core_tokens,num_current_tokens,top_k_eff,internal_mass,memory_start_boundary_mass,boundary_mass,current_start_boundary_mass,current_core_mass,transition_boundary_mass,current_mass,memory_mass,visual_mass,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak,internal_peak_to_median,internal_log_peak_to_median,readout_shape_score,peak_readout_shape_score,spiky_readout_score
0,1,1,Attribute Recognition,3,19,0,0,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.01838516630232334,0.0015039935242384672,0.1410994827747345,0.002208285965025425,0.07028283923864365,0.1448117622639984,0.0724911242723465,0.16098862886428833,0.23347976803779602,0.07874415182418881,0.6895185403710773,0.31048139580257356,0.3010232528026374,0.20734836866970638,0.8764562054429532,0.030462846136838938,0.6202325943716709,0.6202325943716709,0.3797674056283291,0.2172605717081866,0.0383796821880351,0.1042651591900341,0.14834670588540466,0.1314067244529724,0.0007056168396957219,432.730811795417,6.072424092346905,0.0064970605643385896,0.0008537574473323144,0.0024880258733674413
0,1,1,Attribute Recognition,3,19,0,1,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.00936843827366829,0.0005743163055740297,0.15690863132476807,0.00357425631955266,0.09520198404788971,0.16105720394989476,0.09877623617649078,0.16685137152671814,0.2656276226043701,0.0352690664539302,0.6281401380254832,0.37185980587281686,0.35840393071366156,0.08958975268140734,0.9404095986031595,0.036185386869065216,0.6063270166339949,0.6063270166339949,0.3936729833660051,0.26393995832273914,0.05309665304637864,0.14096158581949209,0.19702623713461562,0.15305417776107788,0.0004974327166564763,593.0830502504574,6.387019124825866,0.00366466870603976,0.0005608928555696687,0.00191325896893997
0,1,1,Attribute Recognition,3,19,0,2,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.08669694513082504,0.005697733722627163,0.14763391017913818,0.008248267695307732,0.2399539053440094,0.16157991159707308,0.24820217490196228,0.24002860486507416,0.48823076486587524,0.17757370360400065,0.49162941407537525,0.5083706164433104,0.4914764136369757,0.26541166203771716,0.615067984340915,0.033232052452934764,0.33094987703433787,0.33094987703433787,0.6690501229656621,0.19766425091255382,0.03254578444235009,0.07080791030237586,0.1039665255176807,0.14788389205932617,0.002821620088070631,536.6355314907598,6.28718087982766,0.02348364132175929,0.0034728522783869825,0.007821605582911081
0,1,1,Attribute Recognition,3,19,0,3,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.031463973224163055,0.001072162063792348,0.09433383494615555,0.0010118570644408464,0.10458855330944061,0.09641785407438874,0.10560040920972824,0.12686996161937714,0.23247036337852478,0.13534616957945658,0.5457468202613539,0.45425321178393774,0.4499005885696156,0.23126342469031982,0.7435474381904769,0.009581942645900742,0.41475331596131065,0.41475331596131065,0.5852466840386894,0.0565255216742635,0.00551771318478716,0.017448504897477023,0.02784423844512872,0.0341486930847168,0.00017360917991027236,37.49654436928233,3.650568480623353,0.0044774372720298205,0.00015289863120861798,0.0001722970087745047
0,1,1,Attribute Recognition,3,19,1,0,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.03268701955676079,0.0027937465347349644,0.15525555610656738,0.002852216362953186,0.11271803826093674,0.16090151900425553,0.11557026207447052,0.1907363384962082,0.3063066005706787,0.10671340250505543,0.6226974480478884,0.377302551948847,0.36799088903263655,0.22479974250632695,0.8139799543695228,0.024679500692752702,0.5252956309265135,0.5252956309265135,0.47470436907348645,0.39070159571787577,0.11555500375457581,0.2706915778911768,0.31082005457000145,0.2375456690788269,0.0037771486677229404,1649.0336602672337,7.408550966848505,0.019791895136734478,0.004701478972593572,0.02413222298810351
0,1,1,Attribute Recognition,3,19,1,1,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.033239446580410004,0.002778132213279605,0.21253567934036255,0.003258818294852972,0.10104075074195862,0.21857262984849513,0.10429956018924713,0.2485532909631729,0.35285285115242004,0.09420200650711912,0.7044106067180458,0.2955893932791202,0.286353788588281,0.2475379634747184,0.8550909888012626,0.031244794214939538,0.6194441369370145,0.6194441369370145,0.3805558630629855,0.32272195376947266,0.04337432178059701,0.14031681296807405,0.19915815890785524,0.18994849920272827,0.0014417384518310428,658.1862960364992,6.49100618959959,0.011569299947690867,0.0021975711618900827,0.006202062985435889
0,1,1,Attribute Recognition,3,19,1,2,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.019731974229216576,0.0026859473437070847,0.07525848597288132,0.0027240326162427664,0.09625563025474548,0.08066846593283117,0.09897966682910919,0.09767640382051468,0.19665607810020447,0.10033747453796965,0.4966864221214042,0.5033135399871628,0.4894617607761392,0.17012140492801409,0.7704878868227181,0.02752113341539484,0.41020072561050985,0.41020072561050985,0.5897992743894902,0.21918190009898764,0.0386466894657473,0.10254233883713171,0.14150447164026836,0.15199625492095947,0.0007625754806213081,585.3410712886171,6.3739016531772785,0.012970959019610644,0.001971537193714058,0.005879073152428843
0,1,1,Attribute Recognition,3,19,1,3,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.02807655930519104,0.0029317098669707775,0.19642506539821625,0.002307319547981024,0.09856270253658295,0.20166409481316805,0.10087001323699951,0.22743333876132965,0.32830333709716797,0.08552017641171798,0.6927536612072982,0.30724638417804984,0.30021839987301474,0.22170501388462635,0.8636599474252216,0.022874187024611352,0.6142614832844884,0.6142614832844884,0.3857385167155116,0.28986774659218745,0.06183511573212534,0.13147360119498658,0.17523991460409952,0.20076560974121094,0.0017361172940582037,1262.4788928307003,7.141624221370709,0.009562280707751798,0.0019197771168084077,0.006218511902405566
0,1,1,Attribute Recognition,3,19,2,0,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.03374464064836502,0.0026503971312195063,0.25451624393463135,0.0018718563951551914,0.10011377930641174,0.25903849746100605,0.1019856408238411,0.2909112870693207,0.3928969204425812,0.08588675271434369,0.7404264883035516,0.2595735306570975,0.25480927463972775,0.2520920287234329,0.8748929836919951,0.01835411710919264,0.6593039649395858,0.6593039649395858,0.34069603506041424,0.5121311404314743,0.15629874695090865,0.3315082215488907,0.3961885938658017,0.32551151514053345,0.005274245049804449,3889.541791784835,8.266303705007987,0.014985610706738556,0.0048779888464566675,0.026101488794879887
0,1,1,Attribute Recognition,3,19,2,1,14,5450,26978,26924,78,5386,5308,64,64,64,21410,21474,32,0.0313507579267025,0.004969627130776644,0.20779071748256683,0.007381079718470573,0.17248326539993286,0.22014142433181405,0.17986436188220978,0.2441110908985138,0.42397546768188477,0.07394474519490714,0.5757670183905506,0.42423294646080917,0.4068236927541828,0.15380532363976565,0.8512137515624068,0.04103692160686776,0.5192315148207355,0.5192315148207355,0.4807684851792645,0.39879923189495625,0.1137569802908346,0.23757446686398465,0.2996051109414033,0.2654734253883362,0.0035663675516843796,2825.1986109179757,7.946687840646853,0.01417743358360055,0.003763731856654072,0.017817644052747928
