layer,head,eager_current_share_global,eager_current_share_local,manual_current_share_global,manual_current_share_local,manual_s_current_share,eager_s_current_share
0,0,0.4561456084251404,0.4570033371448517,0.4566294252872467,0.4611321300268173,0.458880777657032,0.4565744727849961
0,1,0.5755020692944527,0.5630871579051018,0.5749455764889717,0.5622533932328224,0.5685994848608971,0.5692946135997772
0,2,0.3939531624317169,0.3967613816261292,0.3937873438000679,0.39428161829710007,0.39403448104858396,0.395357272028923
0,3,0.2060715857282048,0.20443302443964056,0.20392721143507514,0.20321788840883528,0.20357254992195523,0.20525230508392267
0,4,0.25752404481172564,0.2438356637954712,0.2572390839457512,0.23049526363611222,0.2438671737909317,0.2506798543035984
0,5,0.5249423258006573,0.5310926422476768,0.5207394026219845,0.5259912833571434,0.5233653429895639,0.528017484024167
0,6,0.46760084964334964,0.47515998519957064,0.4677516222000122,0.4699435330927372,0.4688475776463747,0.47138041742146014
0,7,0.5181737311184407,0.5216536968946457,0.5201947830617428,0.5204980857670307,0.5203464344143868,0.5199137140065432
0,8,0.5706590980291366,0.5654754489660263,0.5706701517105103,0.5657314568758011,0.5682008042931557,0.5680672734975815
0,9,0.5038249641656876,0.5143109619617462,0.5005660146474838,0.5076422989368439,0.5041041567921638,0.5090679630637169
0,10,0.4151573629584163,0.46017328519374134,0.41728531289845705,0.4506659569218755,0.4339756349101663,0.43766532407607883
0,11,0.5902703821659088,0.5982831835746765,0.5901181310415268,0.5979953408241272,0.594056735932827,0.5942767828702926
0,12,0.6033167272806168,0.6046655893325805,0.6028626680374145,0.604908075928688,0.6038853719830513,0.6039911583065987
0,13,0.5250947445631027,0.5208844274282456,0.5255663752555847,0.5229309394955635,0.524248657375574,0.5229895859956741
0,14,0.7579742670059204,0.7641195058822632,0.7577720999717712,0.764091682434082,0.7609318912029266,0.7610468864440918
0,15,0.0,0.19999933242797852,0.0,0.0,0.0,0.09999966621398926
0,16,0.5892018392682076,0.5942740857601165,0.5887543827295303,0.5941307306289673,0.5914425566792487,0.5917379625141621
0,17,0.44386284947395327,0.42904369682073595,0.44216555804014207,0.4329295217990875,0.4375475399196148,0.4364532731473446
0,18,0.5046747148036956,0.5345032900571823,0.5091859996318817,0.5366814970970154,0.5229337483644485,0.519589002430439
0,19,0.7293128550052643,0.7283685863018036,0.7310833275318146,0.729829627275467,0.7304564774036408,0.7288407206535339
0,20,0.29710725545883176,0.34482994973659514,0.28596180081367495,0.3187072142958641,0.30233450755476954,0.3209686025977134
0,21,0.6034668773412705,0.5984968334436417,0.6034510165452958,0.5979378163814545,0.6006944164633752,0.6009818553924561
0,22,0.7733695864677429,0.7625895977020264,0.7738831043243408,0.7633137106895447,0.7685984075069427,0.7679795920848846
0,23,0.5085092864930629,0.5112050600349903,0.5069910354912281,0.509171774238348,0.5080814048647881,0.5098571732640267
0,24,0.5129384465515614,0.510520688444376,0.5110608592629433,0.506590822339058,0.5088258408010007,0.5117295674979687
0,25,0.596245588362217,0.5918626904487609,0.595223245024681,0.590678857266903,0.592951051145792,0.594054139405489
