query,layer,head,manual_current_share,eager_current_share,manual_per_token_ratio,eager_per_token_ratio,abs_current_share_diff,num_observations
global,0,0,0.4566294252872467,0.4561456084251404,7.755070513486862,7.230426679551601,0.0007003366947174073,5
global,0,1,0.5749455764889717,0.5755020692944527,10698.838041122257,11058.610970077663,0.000556492805480957,5
global,0,2,0.3937873438000679,0.3939531624317169,45.42795849069953,44.664347601309416,0.0053341642022132875,5
global,0,3,0.20392721143507514,0.2060715857282048,908.6894798070167,1239.273304160692,0.0021465466685185674,5
global,0,4,0.2572390839457512,0.25752404481172564,0.12889053374528886,0.12959856241941453,0.0015142709016799927,5
global,0,5,0.5207394026219845,0.5249423258006573,927.3407003009692,817.7945470832288,0.004206165671348572,5
global,0,6,0.4677516222000122,0.46760084964334964,10930.251844913979,11867.687467911373,0.0008013781160116195,5
global,0,7,0.5201947830617428,0.5181737311184407,23.882614850439133,21.306924744322895,0.0020210519433021545,5
global,0,8,0.5706701517105103,0.5706590980291366,13.822554117441177,14.558823292702437,0.0002002149820327759,5
global,0,9,0.5005660146474838,0.5038249641656876,0.6655028879642486,0.7026221379637718,0.006278985738754272,5
global,0,10,0.41728531289845705,0.4151573629584163,21547.622350189242,29326.550357364198,0.002367694629356265,5
global,0,11,0.5901181310415268,0.5902703821659088,6.3475592993199825,6.197543173283338,0.0011133164167404174,5
global,0,12,0.6028626680374145,0.6033167272806168,4.028106452524662,4.242749091982842,0.0007718950510025024,5
global,0,13,0.5255663752555847,0.5250947445631027,2.0182287067174913,2.2747066639363767,0.005348768830299377,5
global,0,14,0.7577720999717712,0.7579742670059204,1.8197926044464112,1.8269814610481263,0.0005747675895690918,5
global,0,15,0.0,0.0,0.0,0.0,0.0,5
global,0,16,0.5887543827295303,0.5892018392682076,3.6289922788739206,3.611243584007025,0.0011235639452934266,5
global,0,17,0.44216555804014207,0.44386284947395327,0.4966045141220093,0.5019283331930637,0.0016972914338111878,5
global,0,18,0.5091859996318817,0.5046747148036956,1.0006554514169692,0.9806620746850967,0.004511284828186035,5
global,0,19,0.7310833275318146,0.7293128550052643,8.815547406673431,8.89985637664795,0.002065730094909668,5
global,0,20,0.28596180081367495,0.29710725545883176,0.17347632721066475,0.18921335861086847,0.013952076435089111,5
global,0,21,0.6034510165452958,0.6034668773412705,1677279.4044119655,1969867.1581123427,0.000643390417098999,5
global,0,22,0.7738831043243408,0.7733695864677429,7902137.136486506,8160702.729430306,0.0005135178565979004,5
