layer,head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,b_quantile_class,s_threshold_class
0,0,0.4570033371448517,0.4561456084251404,0.456574472784996,-1.0120702766203329,4.229478276731764,2.499073255062103,7.230426679551601,0.7747186214834104,5,mixed,mixed
0,1,0.5630871579051018,0.5755020692944527,0.5692946135997772,0.8886847716990477,8973.912407992768,7282.213746468723,11058.610970077663,0.7747186214834104,5,current_oriented_top20,mixed
0,2,0.3967613816261291,0.3939531624317169,0.395357272028923,-1.1472380916548062,26.058990352527985,15.228659367933869,44.664347601309416,0.7747186214834104,5,mixed,mixed
0,3,0.20443302443964056,0.2060715857282048,0.2052523050839227,-4.9361690651949335,2177.9033723062016,3827.456704065474,1239.273304160692,0.7747186214834104,5,memory_oriented_bottom20,memory_mass_lt25
0,4,0.2438356637954712,0.25752404481172564,0.2506798543035984,-2.4728556803154644,0.11725096985510605,0.10726719498634338,0.1295985624194145,0.7747186214834104,5,mixed,mixed
0,5,0.5310926422476768,0.5249423258006573,0.528017484024167,0.18248266677625402,2074.040968902568,5260.979971463419,817.7945470832288,0.7747186214834104,5,current_oriented_top20,mixed
0,6,0.47515998519957064,0.46760084964334964,0.47138041742146014,-0.08986185464122816,5721.126780849759,2758.099932876602,11867.687467911373,0.7747186214834104,5,current_oriented_top20,mixed
0,7,0.5216536968946457,0.5181737311184407,0.5199137140065432,-0.48773518099617624,17.600837379235383,14.808685876056552,21.306924744322895,0.7747186214834104,5,current_oriented_top20,mixed
0,8,0.5654754489660263,0.5706590980291366,0.5680672734975815,-0.07290420897371552,12.009215556529371,9.930503738671542,14.558823292702437,0.7747186214834104,5,current_oriented_top20,mixed
0,9,0.5143109619617462,0.5038249641656876,0.5090679630637169,-1.164821767006694,0.8292173805585626,0.9843508258461953,0.7026221379637717,0.7747186214834104,5,mixed,mixed
0,10,0.46017328519374134,0.4151573629584163,0.43766532407607883,-0.5916807940626354,12363.911071497136,5213.3055855958255,29326.550357364198,0.7747186214834104,5,current_oriented_top20,mixed
0,11,0.5982831835746765,0.5902703821659088,0.5942767828702926,-0.10406534168338259,7.001939408549012,7.9127278044819835,6.197543173283338,0.7747186214834104,5,current_oriented_top20,mixed
0,12,0.6046655893325805,0.6033167272806168,0.6039911583065987,-0.19794519984199416,4.556001952755425,4.902094934880734,4.242749091982842,0.7747186214834104,5,current_oriented_top20,mixed
0,13,0.5208844274282456,0.5250947445631027,0.5229895859956741,-0.9180389358529892,2.3533149802947646,2.4706523142755032,2.2747066639363767,0.7747186214834104,5,mixed,mixed
0,14,0.7641195058822632,0.7579742670059204,0.7610468864440918,0.11274173495131183,1.7697763979412042,1.7165853381156921,1.8269814610481263,0.7747186214834104,5,current_oriented_top20,current_mass_gt75
0,15,0.19999933242797852,0.0,0.09999966621398926,-24.60513730539213,7.441383235745739e-07,2.768703269958496,0.0,0.7747186214834104,5,memory_oriented_bottom20,memory_mass_lt25
0,16,0.5942740857601165,0.5892018392682076,0.5917379625141621,-0.3936203424874761,3.8195201668541356,4.044924020022154,3.611243584007025,0.7747186214834104,5,current_oriented_top20,mixed
0,17,0.42904369682073595,0.44386284947395327,0.4364532731473446,-1.6232725577315008,0.4642356956261785,0.4295748956501484,0.5019283331930637,0.7747186214834104,5,mixed,mixed
0,18,0.5345032900571823,0.5046747148036956,0.519589002430439,-1.0117945031654239,1.05801316493932,1.142460623383522,0.9806620746850967,0.7747186214834104,5,mixed,mixed
0,19,0.7283685863018036,0.7293128550052643,0.7288407206535339,0.43904629268068723,8.827028387619636,8.760054379701614,8.89985637664795,0.7747186214834104,5,current_oriented_top20,mixed
0,20,0.3448299497365951,0.29710725545883176,0.3209686025977134,-2.321893587135612,0.22751005350686787,0.27489440068602555,0.1892133586108684,0.7747186214834104,5,mixed,mixed
0,21,0.5984968334436417,0.6034668773412705,0.6009818553924561,2.5998977702763466,2310659.128461586,2710409.056789714,1969867.1581123427,0.7747186214834104,5,current_oriented_top20,mixed
0,22,0.7625895977020264,0.7733695864677429,0.7679795920848846,3.4229666953034923,8406494.540774416,8659689.356741374,8160702.729430306,0.7747186214834104,5,current_oriented_top20,current_mass_gt75
0,23,0.5112050600349903,0.5085092864930629,0.5098571732640267,1.6005707553365442,972403.0576523661,1535520.0481289632,615796.6025190465,0.7747186214834104,5,current_oriented_top20,mixed
0,24,0.510520688444376,0.5129384465515613,0.5117295674979687,1.6771995050648338,1098451.980947327,1760064.316169285,685541.5672300421,0.7747186214834104,5,current_oriented_top20,mixed
0,25,0.5918626904487609,0.5962455883622169,0.594054139405489,2.5986205361414187,2403897.8977128225,3302390.8126924983,1749861.4519424618,0.7747186214834104,5,current_oriented_top20,mixed
0,26,0.5104021966457367,0.5046928107738495,0.5075475037097931,1.5855090968097403,1024504.3810821178,1785013.548617137,588012.1774679373,0.7747186214834104,5,current_oriented_top20,mixed
0,27,0.5899237543344498,0.5838991343975067,0.5869114443659782,2.543735419508139,2299592.276357091,3456623.2163311495,1529853.2645079792,0.7747186214834104,5,current_oriented_top20,mixed
