layer,local_current_share,global_current_share,global_minus_local_current_share,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio,prev_visual_tokens,current_chunk_tokens
0,0.5116771090625272,0.5004818631364157,-0.01119524592444837,829790.3711651011,548359.3637672804,5885.0,20443.0
1,0.49769615660355027,0.4982105492647471,0.0005143926611968449,1001599.8043582188,701212.1206954684,5885.0,20443.0
2,0.4056777568933155,0.40760573603079786,0.0019279791374823877,4.835747246517401,3.7876256379415283,5885.0,20443.0
3,0.4232416284985707,0.4230082066671457,-0.0002334218314250133,55.86750902317872,73.57180701226336,5885.0,20443.0
4,0.40296429795894906,0.41272140206513414,0.00975710410618506,1.0648955808169245,1.1312823047550669,5885.0,20443.0
5,0.4021431227622088,0.400466463741863,-0.0016766590452919315,2.7252728354426967,2.355907293546105,5885.0,20443.0
6,0.48576470387800197,0.4879550250513213,0.002190321173319327,8.251185289268948,5.445138395926915,5885.0,20443.0
7,0.31185458044097425,0.3097861971843356,-0.0020683833098571213,0.4311925218297152,0.39489412529926216,5885.0,20443.0
8,0.36949202049020513,0.35800697778104223,-0.011485042714983656,0.633438942567149,0.5617416460101594,5885.0,20443.0
9,0.380342971972589,0.37627124660648403,-0.004071725366104927,0.4318342511774972,0.3736222494626418,5885.0,20443.0
10,0.4795503304739084,0.48563464617057306,0.006084315696664687,3.0516711990635876,3.1964682598444467,5885.0,20443.0
11,0.514000614406541,0.5244752105724598,0.01047459615261427,4.313583365345507,5.280448136874474,5885.0,20443.0
12,0.49720871765831753,0.5073347937748102,0.010126076116492706,0.7057131969029017,0.6576938475166182,5885.0,20443.0
13,0.5057116152735294,0.5360028292285278,0.030291213954998446,0.9609741566985447,1.2133587289593248,5885.0,20443.0
14,0.346731818083338,0.3658510850582388,0.019119266962141928,0.3456796207676494,0.3359629961430463,5885.0,20443.0
15,0.5993024828311588,0.6121855591689902,0.01288307633783136,9.651915778542337,9.115640372743032,5885.0,20443.0
16,0.3550228176729953,0.38147495245960145,0.026452134746692276,0.5045215681511244,0.5608117582089367,5885.0,20443.0
17,0.41892793303954284,0.4455164637150509,0.026588530675508083,1.039737754779136,1.1232671113002912,5885.0,20443.0
18,0.5211731206226562,0.559717960606177,0.038544839983520825,1.3076154152862727,1.5114662566753863,5885.0,20443.0
19,0.39694657997361976,0.41867470270808554,0.021728122840909237,1.7507412122568804,1.1205017604707774,5885.0,20443.0
20,0.47031004136162147,0.49259710742958956,0.022287066094577312,0.661873379535973,0.7186544029507786,5885.0,20443.0
21,0.42216633702628314,0.4361213999866907,0.013955062960407563,0.8736334396226864,1.0322808194622797,5885.0,20443.0
22,0.21129380537735024,0.22301998291295605,0.011726177583997403,0.1006599024121085,0.1097445559049967,5885.0,20443.0
23,0.3850032579153776,0.3873284906880664,0.0023252327726887806,0.5053745853431922,0.48969629692811784,5885.0,20443.0
24,0.39824000777194407,0.4006347204951453,0.002394712724656399,1.2887111949227152,1.340233786562021,5885.0,20443.0
25,0.4330388599208423,0.4479172854285155,0.014878425507673196,0.5500421964430383,0.5939344327497695,5885.0,20443.0
26,0.40232726918267353,0.4286867005218353,0.026359431339161736,0.6709033271164766,0.6773867004284901,5885.0,20443.0
27,0.3463006804262897,0.36845335058762707,0.02215267016133741,118169.8088249168,134183.6417287752,5885.0,20443.0
