layer,kv_head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,query_heads_observed,b_quantile_class,s_threshold_class
0,0,0.29615516278619225,0.29465499890235397,0.2954050808442731,-2.375435308599182,0.3537501290738351,0.34429161840621697,0.3672125278026462,0.7408419067708049,203,7.0,mixed,mixed
0,1,0.4008005600441492,0.39553900938978837,0.3981697847169688,-1.4434816090652918,4.8529557457739045,5.309420514839781,4.444959180762931,0.7408419067708049,203,7.0,current_oriented_top20,mixed
0,2,0.4657123734444485,0.4754903583752525,0.47060136590985047,-1.0860756778173246,1.0253590378200066,1.0958984344422715,0.966372819377463,0.7408419067708049,203,7.0,current_oriented_top20,mixed
0,3,0.44971371074859134,0.4614481439787777,0.45558092736368455,0.0020903541400076188,534353.6481835096,587253.1216492418,830099.246548367,0.7408419067708049,203,7.0,current_oriented_top20,mixed
1,0,0.48288475845546674,0.4738002092378583,0.4783424838466625,-1.1148188496299325,0.9859699054492312,0.9431852567789161,1.065485503092961,0.7408419067708049,203,7.0,current_oriented_top20,mixed
1,1,0.3012818091747818,0.3229996182076814,0.31214071369123164,-2.169815259266074,0.7192255387410794,0.63213153674971,0.8318176212699944,0.7408419067708049,203,7.0,mixed,mixed
1,2,0.39458491861558964,0.392681118492489,0.39363301855403926,-1.346701992558926,5.145244537484208,4.4398208460919,5.97885308228799,0.7408419067708049,203,7.0,current_oriented_top20,mixed
1,3,0.40253986091802707,0.403577780067935,0.4030588204929811,-1.3294798203505491,2.869886689051561,2.4417856884800258,3.384314911691205,0.7408419067708049,203,7.0,current_oriented_top20,mixed
2,0,0.16537497704288767,0.16949267538239887,0.16743382621264324,-3.319940560317457,0.1186236149819328,0.11576167403964183,0.12187805745511045,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
2,1,0.14873436998296324,0.1487013870502065,0.14871787851658488,-4.017324614987063,0.3900986227206391,0.3543041207936203,0.43540392943480305,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
2,2,0.16555315771442333,0.1688675183079174,0.16721033801117036,-3.611371436404538,0.20696503950762182,0.2031761910941723,0.21145217695116955,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
2,3,0.2013825234650191,0.19122812747911963,0.19630532547206933,-3.3014194121196874,0.2846240337669496,0.32125624242118783,0.25418671070616555,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
3,0,0.17763487065414174,0.17925148258393567,0.1784431766190387,-4.276711852128081,2.009734262647605,1.6399131383430223,2.494690506930198,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
3,1,0.3253071699128926,0.32810574951583776,0.3267064597143652,-2.0929905890429574,0.4285160591976067,0.41261557988244835,0.446871362870743,0.7408419067708049,203,7.0,current_oriented_top20,mixed
3,2,0.16161422117996935,0.15903717210510235,0.16032569664253585,-3.902491548437606,0.3595846179608578,0.30518749776723814,0.4270251922739326,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
3,3,0.19784302356233166,0.1963862384188556,0.19711463099059365,-3.657755061081601,6.2208967527205985,4.668958409739037,8.335062411656606,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
4,0,0.20791271276811185,0.21772007708790372,0.2128163949280078,-2.7373383990820135,0.13590855679524005,0.1255451417485341,0.1487296508417612,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
4,1,0.28715702718923614,0.3037503456725805,0.2954536864309083,-2.0937966522578053,0.15024733822737027,0.14553571329151882,0.15712359092265712,0.7408419067708049,203,7.0,current_oriented_top20,mixed
4,2,0.26057040464978687,0.2541751551978911,0.257372779923839,-2.8459565050004985,0.37698441966732227,0.36093070014774115,0.39790968100422214,0.7408419067708049,203,7.0,mixed,mixed
4,3,0.22732603127233308,0.2298219027887605,0.22857396703054678,-2.750137252626229,0.16707354096999227,0.1613535669911203,0.1738870238391477,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
5,0,0.3434609422985181,0.34264347354379754,0.3430522079211578,-1.8646259896669697,0.3221666139215555,0.30406149040770614,0.3458091494787008,0.7408419067708049,203,7.0,current_oriented_top20,mixed
5,1,0.11556369670149295,0.09939417582716394,0.10747893626432845,-3.634358504077018,0.04356527447887071,0.04897334184647009,0.03923719634958356,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
