region,bin,x,local_density,global_density
previous,0,-0.995,nan,nan
previous,1,-0.985,nan,nan
previous,2,-0.975,nan,nan
previous,3,-0.965,nan,nan
previous,4,-0.955,nan,nan
previous,5,-0.945,nan,nan
previous,6,-0.935,nan,nan
previous,7,-0.925,nan,nan
previous,8,-0.915,nan,nan
previous,9,-0.905,nan,nan
previous,10,-0.895,nan,nan
previous,11,-0.885,nan,nan
previous,12,-0.875,nan,nan
previous,13,-0.865,nan,nan
previous,14,-0.855,nan,nan
previous,15,-0.845,nan,nan
previous,16,-0.835,nan,nan
previous,17,-0.825,nan,nan
previous,18,-0.815,nan,nan
previous,19,-0.8049999999999999,nan,nan
previous,20,-0.7949999999999999,nan,nan
previous,21,-0.785,nan,nan
previous,22,-0.775,nan,nan
previous,23,-0.765,nan,nan
previous,24,-0.755,nan,nan
previous,25,-0.745,nan,nan
previous,26,-0.735,nan,nan
previous,27,-0.725,nan,nan
previous,28,-0.715,nan,nan
previous,29,-0.7050000000000001,nan,nan
previous,30,-0.6950000000000001,nan,nan
previous,31,-0.685,nan,nan
previous,32,-0.675,nan,nan
previous,33,-0.665,nan,nan
previous,34,-0.655,nan,nan
previous,35,-0.645,nan,nan
previous,36,-0.635,nan,nan
previous,37,-0.625,nan,nan
previous,38,-0.615,nan,nan
previous,39,-0.605,nan,nan
previous,40,-0.595,nan,nan
previous,41,-0.585,nan,nan
previous,42,-0.575,nan,nan
previous,43,-0.565,nan,nan
previous,44,-0.5549999999999999,nan,nan
previous,45,-0.5449999999999999,nan,nan
previous,46,-0.5349999999999999,nan,nan
previous,47,-0.5249999999999999,nan,nan
previous,48,-0.515,nan,nan
previous,49,-0.505,nan,nan
previous,50,-0.495,nan,nan
previous,51,-0.485,nan,nan
previous,52,-0.475,nan,nan
previous,53,-0.46499999999999997,nan,nan
previous,54,-0.45499999999999996,nan,nan
previous,55,-0.44499999999999995,nan,nan
previous,56,-0.43499999999999994,nan,nan
previous,57,-0.42499999999999993,nan,nan
previous,58,-0.41500000000000004,nan,nan
previous,59,-0.405,nan,nan
previous,60,-0.395,nan,nan
previous,61,-0.385,nan,nan
previous,62,-0.375,nan,nan
