region,bin,x,local_density,global_density
previous,0,-0.995,0.00028573528315602593,0.00022003535717751257
previous,1,-0.985,0.00014002751411991846,0.00010163414607398975
previous,2,-0.975,2.9040183184573538e-05,2.6871721366157025e-05
previous,3,-0.965,1.3345204039018315e-05,1.0638879067945876e-05
previous,4,-0.955,4.7824760805056306e-05,4.009916201324841e-05
previous,5,-0.945,2.5534335928425058e-05,2.2405702911295782e-05
previous,6,-0.935,3.724882639474168e-05,3.04305769575143e-05
previous,7,-0.925,3.633881713010025e-05,3.090515013804996e-05
previous,8,-0.915,6.028166705725513e-06,4.957940674898964e-06
previous,9,-0.905,2.6662543085510096e-05,2.2367127237592805e-05
previous,10,-0.895,1.5932163611110736e-05,1.2533655063514149e-05
previous,11,-0.885,1.7214010292301115e-05,1.5494472536398016e-05
previous,12,-0.875,5.593335209962844e-06,4.506857128147862e-06
previous,13,-0.865,5.890524105858944e-06,4.709669327690345e-06
previous,14,-0.855,8.755168411825049e-06,7.394584124992843e-06
previous,15,-0.845,6.3411853705367915e-06,5.379598260553709e-06
previous,16,-0.835,4.703940471026912e-06,3.5645193937730068e-06
previous,17,-0.825,4.671576428623963e-06,4.0672568272792864e-06
previous,18,-0.815,2.207350138246163e-05,1.6813732974687625e-05
previous,19,-0.8049999999999999,6.7544763610107e-06,6.324394399129863e-06
previous,20,-0.7949999999999999,1.7783665790765163e-05,1.3274727943056935e-05
previous,21,-0.785,2.888346633381166e-05,2.2312456777905138e-05
previous,22,-0.775,2.8643613929352332e-05,2.2680596959863042e-05
previous,23,-0.765,7.053334590001232e-05,5.320238503520149e-05
previous,24,-0.755,1.4074370598422672e-05,1.2350268909650758e-05
previous,25,-0.745,3.3119363631821755e-06,2.6709373489155745e-06
previous,26,-0.735,5.682459600370284e-06,5.202125348758653e-06
previous,27,-0.725,3.534654630484789e-06,3.0393486512150734e-06
previous,28,-0.715,2.9043371338205786e-06,2.2995178976752498e-06
previous,29,-0.7050000000000001,6.537070765044955e-06,5.585463942461107e-06
previous,30,-0.6950000000000001,1.8057902711211798e-05,1.6568667369436607e-05
previous,31,-0.685,1.7580130341807674e-05,1.761065609820648e-05
previous,32,-0.675,3.625280335049123e-06,2.975238881567887e-06
previous,33,-0.665,3.458034026600532e-06,2.8128355765778796e-06
previous,34,-0.655,2.6990697491254074e-06,2.1200278593146414e-06
previous,35,-0.645,1.1449756693671552e-05,1.0483988191077626e-05
previous,36,-0.635,5.64608217246132e-06,5.092891660577764e-06
previous,37,-0.625,1.1248126396342355e-05,8.36170295271739e-06
previous,38,-0.615,3.031982887183712e-05,3.005909102144273e-05
previous,39,-0.605,4.515819266752798e-06,3.6422074389037686e-06
previous,40,-0.595,1.1426483366931837e-05,1.0234045118362682e-05
previous,41,-0.585,1.873192265804266e-05,1.5916765942084305e-05
previous,42,-0.575,4.909238260280773e-06,3.988692492123856e-06
previous,43,-0.565,4.752141050772127e-06,3.6657017619803604e-06
previous,44,-0.5549999999999999,4.780641613625189e-06,3.5301885892336868e-06
previous,45,-0.5449999999999999,6.207673582788889e-06,4.591416198678064e-06
previous,46,-0.5349999999999999,5.259714661306413e-06,3.9274182198283245e-06
previous,47,-0.5249999999999999,3.066105564380914e-06,2.501173351479987e-06
previous,48,-0.515,4.006645942913379e-06,3.384219343074016e-06
previous,49,-0.505,6.579781214970019e-06,5.440333736703219e-06
previous,50,-0.495,6.109184498399725e-06,4.919853522238202e-06
previous,51,-0.485,3.6311013817323456e-06,2.9648594952922563e-06
previous,52,-0.475,4.129140312826092e-06,3.186556700067824e-06
previous,53,-0.46499999999999997,5.368944716583799e-06,4.557949051438615e-06
previous,54,-0.45499999999999996,1.3531792677725913e-05,1.1430359139451087e-05
previous,55,-0.44499999999999995,8.292527561062176e-06,6.790017887304165e-06
previous,56,-0.43499999999999994,5.683968242832941e-06,4.5147785889684875e-06
previous,57,-0.42499999999999993,3.445424065851475e-06,2.8087351939594016e-06
previous,58,-0.41500000000000004,4.416735357167733e-06,3.7014125982820162e-06
previous,59,-0.405,4.436214181526209e-06,3.737738952379134e-06
previous,60,-0.395,3.538472770447716e-06,2.863809775988102e-06
previous,61,-0.385,3.6645984168644088e-06,2.9662010080978598e-06
previous,62,-0.375,3.33766643580345e-06,2.859060203243931e-06
previous,63,-0.365,3.1579934689405637e-06,2.5946601390248306e-06
previous,64,-0.355,4.034123962990365e-06,3.325903755794292e-06
previous,65,-0.345,3.3970537725387973e-06,3.0147448852607784e-06
previous,66,-0.33499999999999996,3.7879834413657517e-06,3.20368288204607e-06
previous,67,-0.32499999999999996,3.0478917760983307e-06,2.512715900709328e-06
previous,68,-0.31499999999999995,4.034219944988225e-06,3.3427796973817712e-06
previous,69,-0.30499999999999994,3.3956360614202283e-06,2.787278716584519e-06
previous,70,-0.29499999999999993,2.823373188105005e-06,2.426303788522499e-06
previous,71,-0.28500000000000003,3.7390906099948995e-06,3.1300689373555385e-06
previous,72,-0.275,3.6206379315806734e-06,2.939594074262561e-06
previous,73,-0.265,4.359807681569283e-06,3.589944375149497e-06
previous,74,-0.255,3.0559268413192197e-06,2.6034294830240894e-06
previous,75,-0.245,4.5147248115415315e-06,3.835125800969067e-06
previous,76,-0.235,4.286860254894134e-06,3.81464851180769e-06
previous,77,-0.22499999999999998,4.419729616013135e-06,3.874607062693847e-06
previous,78,-0.21499999999999997,3.6000433128174802e-06,3.0076921115850455e-06
previous,79,-0.20499999999999996,3.860269286484922e-06,3.3662327108087847e-06
previous,80,-0.19499999999999995,3.9242762501688195e-06,3.400680385272274e-06
previous,81,-0.18499999999999994,4.154923290429349e-06,3.481057637591035e-06
previous,82,-0.17499999999999993,4.553714088835792e-06,3.989274189970209e-06
previous,83,-0.16499999999999992,3.913217171327919e-06,3.234791114190515e-06
previous,84,-0.15500000000000003,4.734677788770123e-06,4.029621014989498e-06
previous,85,-0.14500000000000002,4.570381067055121e-06,3.905264583007623e-06
previous,86,-0.135,5.269826530272152e-06,4.651333561431951e-06
previous,87,-0.125,4.499742944148591e-06,4.042019766910351e-06
previous,88,-0.11499999999999999,5.009483723657765e-06,4.523530377704381e-06
previous,89,-0.10499999999999998,5.323248212696816e-06,4.633146033068777e-06
previous,90,-0.09499999999999997,7.271224264144974e-06,6.538815095403114e-06
previous,91,-0.08499999999999996,6.466261054913271e-06,5.8272435085525236e-06
previous,92,-0.07499999999999996,5.182826781406777e-06,4.475550574317812e-06
previous,93,-0.06499999999999995,4.593837997747739e-06,3.9421475282860485e-06
previous,94,-0.05499999999999994,6.243915115484404e-06,5.023096303854605e-06
previous,95,-0.04499999999999993,5.548913900012701e-06,4.599988608797688e-06
