video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,num_memory_tokens,num_boundary_tokens,num_internal_tokens,num_latest_tokens,top_k_eff,cov_int,cov_rand_int,cov_oracle_int,u_obs_int,boundary_ratio,future_mass_internal,selector_mass_internal,selector_mass_boundary,selector_mass_memory
0,1,1,Attribute Recognition,3,19,0,0,14,5493,27021,26924,5479,64,5415,21431,128,0.9084101655778768,0.02085564754088708,0.9086154779168436,0.9997687298603276,0.5557531103899902,0.11068146675825119,0.1433238983154297,0.1792982965707779,0.3226222097873688
0,1,1,Attribute Recognition,3,19,0,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7968245826664363,0.036084791070341564,0.7971260199582402,0.9996039146351585,0.7561569913706013,0.05184359475970268,0.06561163067817688,0.20346157252788544,0.2690731883049011
0,1,1,Attribute Recognition,3,19,0,2,14,5493,27021,26924,5479,64,5415,21431,128,0.676244728915471,0.035562322645809545,0.6775710982626092,0.997934032370723,0.4914458416865685,0.13277551531791687,0.16621431708335876,0.16062268614768982,0.3268370032310486
0,1,1,Attribute Recognition,3,19,0,3,14,5493,27021,26924,5479,64,5415,21431,128,0.5937216380354555,0.03140963014765148,0.5939131437905596,0.9996595474491111,0.6846017909825503,0.04836896061897278,0.07507511973381042,0.16295768320560455,0.23803280293941498
0,1,1,Attribute Recognition,3,19,1,0,14,5493,27021,26924,5479,64,5415,21431,128,0.8557358211306614,0.018444365574338435,0.8557868403334331,0.9999390700874379,0.7392693865858447,0.07316344976425171,0.09154815226793289,0.2595735192298889,0.3511216938495636
0,1,1,Attribute Recognition,3,19,1,1,14,5493,27021,26924,5479,64,5415,21431,128,0.8516363293244016,0.0193794909654328,0.8520897789724018,0.9994554532884601,0.6756759867003361,0.09935758262872696,0.14530368149280548,0.302716463804245,0.44802016019821167
0,1,1,Attribute Recognition,3,19,1,2,14,5493,27021,26924,5479,64,5415,21431,128,0.7782306512336086,0.02146670598732716,0.7783758470993692,0.9998081726605295,0.6745524630683221,0.045233290642499924,0.07184700667858124,0.14891670644283295,0.22076371312141418
0,1,1,Attribute Recognition,3,19,1,3,14,5493,27021,26924,5479,64,5415,21431,128,0.8505817121569882,0.031752119710897114,0.8519420875474518,0.9983413898672154,0.6972368324718515,0.0843600183725357,0.1331234872341156,0.3065716326236725,0.4396951198577881
0,1,1,Attribute Recognition,3,19,2,0,14,5493,27021,26924,5479,64,5415,21431,128,0.8987460730776813,0.047375900834338354,0.8995164676228173,0.9990959302066341,0.4540045713730337,0.1314789205789566,0.225460484623909,0.18747425079345703,0.41293472051620483
0,1,1,Attribute Recognition,3,19,2,1,14,5493,27021,26924,5479,64,5415,21431,128,0.8848450670609596,0.034016352670315844,0.8859367987114487,0.9987185051649352,0.5604752549998923,0.09216558933258057,0.1283550262451172,0.1636764109134674,0.292031466960907
0,1,1,Attribute Recognition,3,19,2,2,14,5493,27021,26924,5479,64,5415,21431,128,0.8876089132824387,0.026665668502948006,0.8885070040904671,0.9989579395047058,0.5940486711967543,0.137025386095047,0.20459358394145966,0.29939189553260803,0.5039854645729065
0,1,1,Attribute Recognition,3,19,2,3,14,5493,27021,26924,5479,64,5415,21431,128,0.7410695575439095,0.019007941352317554,0.7428558952740196,0.9975321644256511,0.5344266735512873,0.07772205770015717,0.1482962667942047,0.17022769153118134,0.31852394342422485
0,1,1,Attribute Recognition,3,19,3,0,14,5493,27021,26924,5479,64,5415,21431,128,0.9419030454199097,0.03151618948603577,0.9429775697460308,0.9988210972506445,0.5720231777696878,0.092823326587677,0.15204539895057678,0.20322009921073914,0.3552654981613159
