name,label,bin,x,mean_density,local_density,global_density
kv0,KV0 (Q0-Q6),0,0.0025,0.0004942264056710989,0.0005423693047819769,0.0004460835065602208
kv0,KV0 (Q0-Q6),1,0.0075,0.0001681449254358418,0.0001817402558329268,0.0001545495950387568
kv0,KV0 (Q0-Q6),2,0.0125,5.7823169004574514e-05,6.249409868998734e-05,5.3152239319161685e-05
kv0,KV0 (Q0-Q6),3,0.017499999999999998,4.772963086599381e-05,4.989205294002602e-05,4.5567208791961584e-05
kv0,KV0 (Q0-Q6),4,0.0225,3.815539349543695e-05,3.99538709767767e-05,3.63569160140972e-05
kv0,KV0 (Q0-Q6),5,0.0275,2.6088552730200898e-05,2.8199226979252792e-05,2.3977878481149005e-05
kv0,KV0 (Q0-Q6),6,0.0325,1.97632778985163e-05,2.1481350823679697e-05,1.8045204973352897e-05
kv0,KV0 (Q0-Q6),7,0.037500000000000006,1.7592842711162137e-05,1.9234630769271907e-05,1.5951054653052368e-05
kv0,KV0 (Q0-Q6),8,0.0425,1.478989642611959e-05,1.5627319221234398e-05,1.395247363100478e-05
kv0,KV0 (Q0-Q6),9,0.0475,1.9610307052981518e-05,2.1397019767763488e-05,1.7823594338199548e-05
kv0,KV0 (Q0-Q6),10,0.052500000000000005,3.438584086939185e-05,3.714016212819536e-05,3.163151961058834e-05
kv0,KV0 (Q0-Q6),11,0.0575,2.8893340198411748e-05,3.118830869749106e-05,2.6598371699332438e-05
kv0,KV0 (Q0-Q6),12,0.0625,1.7586332912974105e-05,1.8685982880373605e-05,1.6486682945574605e-05
kv0,KV0 (Q0-Q6),13,0.0675,1.814333226841001e-05,1.965813552365755e-05,1.6628529013162466e-05
kv0,KV0 (Q0-Q6),14,0.07250000000000001,1.7920865630705504e-05,1.8102822580768238e-05,1.773890868064277e-05
kv0,KV0 (Q0-Q6),15,0.0775,2.2724057579503565e-05,2.406235968945892e-05,2.1385755469548213e-05
kv0,KV0 (Q0-Q6),16,0.0825,3.51116883713229e-05,3.678472188016734e-05,3.343865486247845e-05
kv0,KV0 (Q0-Q6),17,0.08750000000000001,1.1258462852253508e-05,1.1981481520733628e-05,1.0535444183773387e-05
kv0,KV0 (Q0-Q6),18,0.0925,1.2591051608090257e-05,1.3400405886728003e-05,1.1781697329452509e-05
kv0,KV0 (Q0-Q6),19,0.0975,2.588131625074299e-05,2.843176049867647e-05,2.3330872002809507e-05
kv0,KV0 (Q0-Q6),20,0.10250000000000001,9.814932133106809e-06,1.0788293643052855e-05,8.841570623160762e-06
kv0,KV0 (Q0-Q6),21,0.1075,1.043388353113731e-05,1.1198849469939081e-05,9.668917592335539e-06
kv0,KV0 (Q0-Q6),22,0.1125,1.2125075604511333e-05,1.2924790952089864e-05,1.13253602569328e-05
kv0,KV0 (Q0-Q6),23,0.11750000000000001,2.8091241839109894e-05,3.0038429280811384e-05,2.61440543974084e-05
kv0,KV0 (Q0-Q6),24,0.1225,8.408489033120685e-06,9.069653943926092e-06,7.74732412231528e-06
kv0,KV0 (Q0-Q6),25,0.1275,6.435098192088141e-06,6.860108926381493e-06,6.0100874577947905e-06
kv0,KV0 (Q0-Q6),26,0.1325,8.339973836330075e-06,8.734983734288919e-06,7.944963938371232e-06
kv0,KV0 (Q0-Q6),27,0.1375,9.73081448158906e-06,9.974056272101387e-06,9.487572691076733e-06
kv0,KV0 (Q0-Q6),28,0.14250000000000002,6.433015512861536e-06,6.7582740907355016e-06,6.107756934987572e-06
kv0,KV0 (Q0-Q6),29,0.1475,1.1187726675847418e-05,1.1717973766191284e-05,1.0657479585503551e-05
kv0,KV0 (Q0-Q6),30,0.1525,9.182380816373769e-06,9.799415707474924e-06,8.565345925272614e-06
kv0,KV0 (Q0-Q6),31,0.1575,1.6173768105956104e-05,1.7316019698064823e-05,1.5031516513847383e-05
kv0,KV0 (Q0-Q6),32,0.1625,2.1818421408426275e-05,2.412445394618175e-05,1.9512388870670798e-05
kv0,KV0 (Q0-Q6),33,0.1675,1.482729297683114e-05,1.5791028797995427e-05,1.3863557155666854e-05
kv0,KV0 (Q0-Q6),34,0.17250000000000001,6.891896039802246e-06,7.278025587418257e-06,6.505766492186235e-06
kv0,KV0 (Q0-Q6),35,0.17750000000000002,1.2924600892620567e-05,1.3649612326248594e-05,1.219958945899254e-05
kv0,KV0 (Q0-Q6),36,0.1825,8.118564367726327e-06,8.645442186145916e-06,7.591686549306738e-06
kv0,KV0 (Q0-Q6),37,0.1875,5.845261569606712e-06,6.181689474633191e-06,5.508833664580234e-06
kv0,KV0 (Q0-Q6),38,0.1925,5.76169075992187e-06,6.146638906899566e-06,5.376742612944174e-06
kv0,KV0 (Q0-Q6),39,0.1975,2.8729639600037063e-05,3.5346815631463604e-05,2.211246356861052e-05
kv0,KV0 (Q0-Q6),40,0.2025,0.00010667924644401828,0.0001144898443544716,9.886864853356497e-05
kv0,KV0 (Q0-Q6),41,0.20750000000000002,6.985169382408919e-06,7.517283673179303e-06,6.453055091638536e-06
kv0,KV0 (Q0-Q6),42,0.2125,7.5252415762665795e-06,7.622935582432459e-06,7.4275475701006995e-06
kv0,KV0 (Q0-Q6),43,0.2175,0.0006345108809199184,0.0007035177982214633,0.0005655039636183734
kv0,KV0 (Q0-Q6),44,0.2225,1.2559694458553444e-05,1.4376894153328095e-05,1.0742494763778792e-05
kv0,KV0 (Q0-Q6),45,0.2275,1.0535528447167837e-05,1.1326098844867376e-05,9.744958049468295e-06
kv0,KV0 (Q0-Q6),46,0.2325,6.896289879399396e-06,7.53197829301742e-06,6.260601465781371e-06
kv0,KV0 (Q0-Q6),47,0.23750000000000002,5.18780181619454e-06,5.667230111552844e-06,4.708373520836236e-06
kv0,KV0 (Q0-Q6),48,0.2425,4.4080455472620704e-06,4.8122828641518994e-06,4.003808230372241e-06
kv0,KV0 (Q0-Q6),49,0.2475,5.509149330253292e-06,5.986699342631199e-06,5.031599317875385e-06
kv0,KV0 (Q0-Q6),50,0.2525,4.372529480893024e-06,4.833777605123155e-06,3.911281356662891e-06
kv0,KV0 (Q0-Q6),51,0.2575,5.602771982704761e-06,6.160039296758543e-06,5.04550466865098e-06
kv0,KV0 (Q0-Q6),52,0.2625,4.265961815343818e-06,4.722194570900296e-06,3.8097290597873406e-06
kv0,KV0 (Q0-Q6),53,0.2675,0.00015416032326478753,0.0001732103212311082,0.00013511032529846682
kv0,KV0 (Q0-Q6),54,0.2725,0.0001355412344304805,0.00014499896435639568,0.0001260835045045653
kv0,KV0 (Q0-Q6),55,0.2775,4.652838277312191e-06,5.093257436884967e-06,4.212419117739417e-06
kv0,KV0 (Q0-Q6),56,0.28250000000000003,5.083532845902152e-06,5.545516860301947e-06,4.621548831502358e-06
kv0,KV0 (Q0-Q6),57,0.28750000000000003,5.30831042974972e-06,5.7982342563367206e-06,4.818386603162719e-06
kv0,KV0 (Q0-Q6),58,0.2925,3.775474250440019e-06,4.189590461041986e-06,3.3613580398380515e-06
kv0,KV0 (Q0-Q6),59,0.2975,6.0617670478622505e-06,6.629516578335156e-06,5.494017517389346e-06
kv0,KV0 (Q0-Q6),60,0.3025,4.343015873616104e-06,4.729152135094007e-06,3.9568796121382e-06
kv0,KV0 (Q0-Q6),61,0.3075,8.183337248325115e-06,8.745378734112579e-06,7.62129576253765e-06
kv0,KV0 (Q0-Q6),62,0.3125,5.180398827895066e-06,5.718501567966659e-06,4.642296087823473e-06
kv0,KV0 (Q0-Q6),63,0.3175,1.3211873553028602e-05,1.4469738085380744e-05,1.1954009020676458e-05
kv0,KV0 (Q0-Q6),64,0.3225,6.2917177889955805e-06,7.282924781162824e-06,5.3005107968283365e-06
kv0,KV0 (Q0-Q6),65,0.3275,5.634479784549218e-06,6.167875885932044e-06,5.1010836831663915e-06
kv0,KV0 (Q0-Q6),66,0.3325,2.9241627330962265e-06,3.2378977593085423e-06,2.610427706883911e-06
kv0,KV0 (Q0-Q6),67,0.3375,3.993994211468576e-06,4.327221919815972e-06,3.66076650312118e-06
kv0,KV0 (Q0-Q6),68,0.3425,2.142136309333197e-06,2.3667465553274394e-06,1.9175260633389547e-06
kv0,KV0 (Q0-Q6),69,0.34750000000000003,4.061323401193228e-06,4.2816515986032755e-06,3.840995203783181e-06
kv0,KV0 (Q0-Q6),70,0.35250000000000004,1.856513738840211e-06,2.0743260412205345e-06,1.6387014364598872e-06
kv0,KV0 (Q0-Q6),71,0.3575,3.2905800034992076e-06,3.6221151000996968e-06,2.9590449068987185e-06
