class,bin,x,mean_density,local_density,global_density
memory,117,0.5874999999999999,1.204274963895047e-06,1.4618464236518068e-06,9.467035041382871e-07
memory,118,0.5924999999999999,1.612846016740832e-06,1.9568738421428733e-06,1.268818191338791e-06
memory,119,0.5974999999999999,1.5186145333338083e-06,1.8327602296645258e-06,1.2044688370030906e-06
memory,120,0.6024999999999999,2.624263192391535e-06,3.171128738416257e-06,2.0773976463668126e-06
memory,121,0.6074999999999999,5.375342670855719e-06,6.550875904669691e-06,4.199809437041749e-06
memory,122,0.6124999999999999,5.028924811539754e-06,6.362196723392282e-06,3.6956528996872245e-06
memory,123,0.6174999999999999,2.162062771286362e-06,2.652767344065447e-06,1.6713581985072778e-06
memory,124,0.6224999999999999,2.192578584793058e-06,2.7910863497691497e-06,1.5940708198169663e-06
memory,125,0.6275,1.2072463407135232e-06,1.4372915671487278e-06,9.772011142783189e-07
memory,126,0.6325,1.222299799406658e-06,1.4279917400238906e-06,1.0166078587894255e-06
memory,127,0.6375,1.7711644479599176e-06,2.0160105355609463e-06,1.526318360358889e-06
memory,128,0.6425,1.533989680192226e-06,1.8028977857644443e-06,1.2650815746200078e-06
memory,129,0.6475,1.1611858423601437e-06,1.3982778892500687e-06,9.240937954702188e-07
memory,130,0.6525,1.1223862490499254e-06,1.352388163799002e-06,8.923843343008489e-07
memory,131,0.6575,1.4542023159442402e-06,1.758579513422431e-06,1.149825118466049e-06
memory,132,0.6625,1.2756972433334923e-06,1.5349627913538623e-06,1.0164316953131225e-06
memory,133,0.6675,1.262947602036952e-06,1.5219024276888519e-06,1.003992776385052e-06
memory,134,0.6725,1.2594454636366044e-06,1.498273041287481e-06,1.0206178859857278e-06
memory,135,0.6775,1.451374434753842e-06,1.7395326031569842e-06,1.1632162663506999e-06
memory,136,0.6825,1.252344482523242e-06,1.5073258126108158e-06,9.97363152435668e-07
memory,137,0.6875,1.5339498275111863e-06,1.82483091840787e-06,1.2430687366145026e-06
memory,138,0.6925,1.3052765977798193e-06,1.570675066418871e-06,1.039878129140768e-06
memory,139,0.6975,1.937534141946598e-06,2.3089207294385066e-06,1.566147554454689e-06
memory,140,0.7025,2.9456506444079892e-06,3.4813413040081276e-06,2.4099599848078504e-06
memory,141,0.7074999999999999,8.510718332812959e-06,1.0372722312825187e-05,6.64871435280073e-06
memory,142,0.7124999999999999,4.2524556492337556e-06,5.401936212146884e-06,3.1029750863206268e-06
memory,143,0.7174999999999999,1.932750782829429e-06,2.3889850399907663e-06,1.4765165256680912e-06
memory,144,0.7224999999999999,1.627114267852472e-06,2.038011637246023e-06,1.2162168984589214e-06
memory,145,0.7274999999999999,1.0747201535636649e-06,1.3036831212141144e-06,8.457571859132153e-07
