layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_top100_mean_attention,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,num_observations
0,0,0.028328112423767916,0.008273546895726534,0.008502486618078396,0.03535238710601278,0.14953932744592519,0.7442773382037859,0.25572265769688884,0.24934472488950948,0.39947236603738956,0.42958030042053846,0.08229859736193865,0.20275324382446666,0.2812548460942396,0.0003627691167139346,0.2634445123374462,4161.4996278554345,6.996121645469164,0.7648570669339557,0.030909667090941884,0.601115946613034,0.601115946613034,0.39888405338696603,80
0,1,0.017845366444594203,0.00379077232684279,0.004798796000164154,0.013732185312228595,0.1497044581743712,0.6980048582788055,0.30199514733331,0.2933580605436885,0.37795378014112097,0.35321112788390485,0.053085733619424334,0.14868565386317642,0.2282864640899646,0.0002905843314131573,0.21084682866930962,1721.2536628446965,6.120624466030148,0.6703614646127114,0.03242473335672598,0.5569374861381216,0.5569374861381216,0.4430625138618784,80
0,2,0.0319209982183569,0.01995521002341642,0.008829223601130613,0.025514805600332792,0.19129930680780227,0.56929426692971,0.430705723473544,0.41824868694244605,0.33496518748705156,0.3507053858082222,0.05229327653389891,0.12722301816083506,0.1829065906087847,0.0004768850082200515,0.2230960600078106,2051.184244035182,6.625417155342911,0.5556602649712787,0.03364570665813427,0.3904520052044519,0.3904520052044519,0.6095479947955481,80
0,3,0.016069315729209766,0.0017337595251581493,0.003664298646753085,0.009683752151413679,0.12871645104721313,0.6350843095796037,0.36491568847881506,0.36132044137199737,0.32258152153833397,0.27394738783777794,0.028400444061981923,0.09241695141422233,0.15156877175615865,0.00022242765838047379,0.17210458368062972,939.123328658318,5.300715534321567,0.6681798521205897,0.012614626248265601,0.5099631128778129,0.5099631128778129,0.49003688712218707,80
1,0,0.05058094986179614,0.01564240721986726,0.022118696859862518,0.08040241614098068,0.1894109966875755,0.7072217884629529,0.2927782140558199,0.28449863765120514,0.4114473629493503,0.4716144439307445,0.06988540298220935,0.19914315094949592,0.2929247711102394,0.0005343341125140455,0.2949474133551121,3647.5846544700494,7.1246594970013195,0.624314356173685,0.03511447380477227,0.5260903599920026,0.5260903599920026,0.47390964000799746,80
1,1,0.060089256646394903,0.023366297494951074,0.023590311065190283,0.06303631514200567,0.22625120419868003,0.7633902254528534,0.23660976412094956,0.23089020390853196,0.46027267718567233,0.4491158645614221,0.0638459655156501,0.17066309818565054,0.2552016348887348,0.0007156333207149146,0.2784933868795633,4177.930117637088,7.022025862280039,0.6145971592526672,0.026496973981743326,0.5428585836736162,0.5428585836736162,0.4571414163263838,80
1,2,0.045977905411645766,0.006842581868783501,0.018464388771399002,0.07815059094321039,0.16779780795213786,0.7213120401114884,0.27868796502309967,0.27265663296718123,0.3935752534261545,0.38580531969857745,0.04905803141031703,0.12505339143770575,0.19216576203440064,0.0003555037575623032,0.2437733042985201,4587.181690591659,6.591005491770919,0.6595986309609893,0.025135640049008028,0.5595455603267973,0.5595455603267973,0.44045443967320275,80
1,3,0.0642388555658783,0.019790731272574073,0.0283884257068004,0.09525251726259855,0.18995009424767711,0.7495019618988772,0.2504980446634729,0.24383594876778197,0.46237821297889814,0.48734736307453,0.06382831553531695,0.1658024354028614,0.25229498202749395,0.0006401130835740787,0.3187291774898767,13844.700249482257,7.806646107668003,0.6471521582830851,0.035455272668079504,0.5662139613248851,0.5662139613248851,0.43378603867511495,80
2,0,0.20079817662913158,0.20132179558334573,0.08142606174947206,0.23455090702443818,0.6122741450506104,0.9070813195380302,0.09291867591784382,0.09134925361216627,0.8346114706912442,0.4642872677809642,0.049994579181280564,0.1451021918103663,0.22710504459810057,0.003421052901853727,0.3858691018074751,56025.87647300759,10.158617744790929,0.20583293472613592,0.022118096298629243,0.29637659603422584,0.29637659603422584,0.7036234039657743,80
2,1,0.20084690991011347,0.2206133592082546,0.07804173352344346,0.2207555998402137,0.6229291502137098,0.8858366036838181,0.1141633989434192,0.1103899148489657,0.8219047125685078,0.43515083901709994,0.04336736355058537,0.13310173009380968,0.21160960598385628,0.0033726826489697713,0.3656991608440876,49197.700087256686,9.820297296375006,0.2102921237039337,0.04000186815798286,0.2666809422380242,0.2666809422380242,0.7333190577619758,80
