layer,local_current_share,global_current_share,global_minus_local_current_share,local_current_to_prev_per_token_ratio,global_current_to_prev_per_token_ratio,prev_visual_tokens,current_chunk_tokens
0,0.39677616931348086,0.39146379533536474,-0.005312373969718818,194229.7532252063,128102.33797126886,5953.320197044335,18887.704433497536
1,0.3987643723491405,0.39611227196513216,-0.0026521003817553505,1026029.902963846,755506.8945696652,5953.320197044335,18887.704433497536
2,0.1721505897652686,0.17129833852265763,-0.0008522512429386619,0.7211065042959002,0.6328111222086344,5953.320197044335,18887.704433497536
3,0.2191939008597505,0.2211195900156888,0.0019256891567332286,31.937955771966774,288.81221798766995,5953.320197044335,18887.704433497536
4,0.2618000323289557,0.2651646876853278,0.0033646553577453132,1.0330598708876815,1.4037437048800285,5953.320197044335,18887.704433497536
5,0.2170128922947368,0.20584893840660595,-0.011163953884444234,1.2477306731773576,1.0170117771958591,5953.320197044335,18887.704433497536
6,0.19873533326200155,0.19920044142388782,0.0004651081648259774,2.206004068010403,1.8775710809424204,5953.320197044335,18887.704433497536
7,0.11712353581558803,0.11632181395371313,-0.0008017218658917851,0.1494206717776004,0.16122743394433367,5953.320197044335,18887.704433497536
8,0.18440061243838646,0.18817526373412521,0.0037746512945562383,0.22907591189013818,0.2597325259865397,5953.320197044335,18887.704433497536
9,0.14694434540594867,0.14286386730422568,-0.004080478100043529,0.10505605763587997,0.0957915320644253,5953.320197044335,18887.704433497536
10,0.18927022875476432,0.18936731609961133,9.708734194955038e-05,1.5365290618474643,1.4958321917631396,5953.320197044335,18887.704433497536
11,0.23878010210048325,0.244111666680224,0.00533156458721896,1.3403730138972527,1.5240939908293138,5953.320197044335,18887.704433497536
12,0.21443916676080615,0.21599550840099965,0.001556341633677912,0.3040111775726777,0.30830095502930255,5953.320197044335,18887.704433497536
13,0.21730071371577464,0.23526778989854022,0.01796707617823761,0.9441358809488942,0.9383144017234503,5953.320197044335,18887.704433497536
14,0.2527324284885527,0.2764350444507353,0.023702615963558674,0.23352412134942807,0.26274100824452723,5953.320197044335,18887.704433497536
15,0.36665983158507404,0.3723053672196064,0.0056455356367648415,3.2124428703238874,3.4391894313015805,5953.320197044335,18887.704433497536
16,0.24174380571757398,0.24962934066570086,0.007885534948556972,0.1951602345140922,0.21610790327080692,5953.320197044335,18887.704433497536
17,0.26038521135106774,0.274135402362154,0.013750191008751422,0.5699266302471738,0.6199707600112487,5953.320197044335,18887.704433497536
18,0.26338355869465485,0.2826682209357957,0.019284662241877006,0.8861603914097359,1.480675113669869,5953.320197044335,18887.704433497536
19,0.18798386901993966,0.20142522234982016,0.013441353331785037,92.23152254788486,8.429741728294477,5953.320197044335,18887.704433497536
20,0.23167365709499782,0.2435323639805111,0.011858706884038615,0.30500731195884684,0.4014507347722715,5953.320197044335,18887.704433497536
21,0.2356060166568234,0.24076825831943136,0.0051622416623621865,0.30250557066495165,0.3453815865558784,5953.320197044335,18887.704433497536
22,0.15945819450386675,0.16778449014683175,0.008326295643747457,0.08319017901761713,0.08966539795229059,5953.320197044335,18887.704433497536
23,0.22860872943960667,0.2365899752396171,0.007981245800420048,0.24402751928928032,0.24297907941227218,5953.320197044335,18887.704433497536
24,0.21849592674955254,0.22138374328266364,0.0028878165339680916,0.6071465882022424,0.6809011131542098,5953.320197044335,18887.704433497536
25,0.2690935018833662,0.28403815440227326,0.014944652517596201,0.4790948895437438,0.5847802960637583,5953.320197044335,18887.704433497536
26,0.292952445752213,0.306535584681757,0.013583138932657142,0.3094406118961161,0.3221868874487876,5953.320197044335,18887.704433497536
27,0.23478927609313052,0.244483330665812,0.009694054571637982,31299.283670876397,23796.90447160477,5953.320197044335,18887.704433497536
