name,layer,kv_head,score,internal_share,boundary_share,current_share,boundary_ratio_in_memory
L6-KV0,6,0,1.8504110663609588,0.2561171078685754,0.6431938696675593,0.1006890224637183,0.7152074040390666
L16-KV2,16,2,1.461557105577998,0.25549549394286536,0.42706551338424115,0.31743899267285103,0.6256810875508307
L14-KV2,14,2,1.2875721314388806,0.3694150201093681,0.39027308465603766,0.2403118952345624,0.5137280447171658
L14-KV0,14,0,1.2311029463644625,0.2790720159221761,0.5384434166709422,0.18248456740682661,0.6586339476956296
