layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
0,0,0.0013676834956859638,0.0014761444841497864,0.00015072140368602188,0.05383672226659712,0.47326165309234325,0.5267383237914974,0.21235221517547553,0.11698998510837555,0.8614648334918737,0.1385351665081262,4
0,1,0.0007153573133114306,0.0006884692515444458,4.8676299922247695e-05,0.04098381906770632,0.3943512018347121,0.6056487722238239,0.12223159313093641,0.061920687556266785,0.736762436558505,0.2632375634414949,4
0,2,0.007683157579341983,0.009178075486104727,0.0011504348549855792,0.10424438928751247,0.349261582216566,0.650738461269439,0.20966188829548682,0.1321779042482376,0.626045547268729,0.37395445273127104,4
0,3,0.0006524332373603613,0.0005027522761022598,3.1052804585068865e-05,0.044799720164919905,0.3335510542808483,0.6664489608575833,0.06581699515149239,0.28352175652980804,0.6112294885836943,0.3887705114163057,4
1,0,0.004611023239290698,0.00434104533925784,0.0009485143986143241,0.07411242801452698,0.48160072984719005,0.5183992436735072,0.3378906266975144,0.1990748643875122,0.7803354521657317,0.21966454783426823,4
1,1,0.0038592747841750433,0.002654441184361711,0.0003182449247998958,0.12335994534241529,0.6258883575750056,0.37411164567685745,0.2237879499038462,0.1282409429550171,0.724871765376317,0.27512823462368297,4
1,2,0.0027339399630745284,0.0024607188857131744,0.0003410850513265669,0.0628632712101288,0.39710255012479545,0.6028974685080647,0.2187107362746814,0.13057726621627808,0.7573774818338795,0.24262251816612046,4
1,3,0.0020040237866419453,0.0020040317223984265,0.00031217480914865555,0.052559050740371295,0.45067434544023616,0.5493257191831694,0.23020265176086005,0.14855560660362244,0.6999850094735578,0.3000149905264422,4
2,0,0.024307999812727153,0.023409522207436185,0.008491121632442611,0.12958017886283046,0.538096910664999,0.4619030369496328,0.5901131822434917,0.35170772671699524,0.6492413652776794,0.3507586347223206,4
2,1,0.011182211681885918,0.0069692190672112405,0.0031984255887316337,0.08698279337167275,0.43794941404108007,0.5620505569441627,0.498014330976624,0.30903099477291107,0.6731115429740595,0.3268884570259405,4
2,2,0.015890607061692222,0.007281014250110615,0.005489385743259545,0.09440910462347515,0.508437607729569,0.4915623771309609,0.4970538859607713,0.3214580714702606,0.7052267560201483,0.2947732439798517,4
2,3,0.012405974294303412,0.00687155430818868,0.004547353646947306,0.08783070239035998,0.4745865259125349,0.5254134580678251,0.47631227686050304,0.2939496785402298,0.716638407120904,0.28336159287909607,4
3,0,0.005974057148991952,0.0064512762879787595,0.0017933305803026962,0.062023871403965744,0.5451716572959993,0.4548283345217889,0.5491064364813466,0.3363960087299347,0.7408583734656511,0.2591416265343489,4
3,1,0.013838735148282731,0.006852660883155632,0.0051810296286828985,0.08572036813792547,0.4427399319558657,0.557260079785044,0.4617513211281168,0.2780964523553848,0.7192856251158843,0.28071437488411566,4
3,2,0.035870151332895756,0.015413178201720716,0.009132957358726683,0.17644783413487483,0.6282290204540594,0.3717709957445152,0.5261124589214188,0.34412405639886856,0.6811750572532251,0.31882494274677486,4
3,3,0.004521641453804857,0.003486190622199281,0.0008516942447766121,0.05706406352352521,0.4108564838435882,0.5891435913064502,0.41768658228827243,0.26737454533576965,0.7259252426679341,0.2740747573320658,4
